model,config_id,AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,F1,threshold
XGBoost,3,0.6611,0.2029,0.2272,0.5955,0.6408,0.1671,0.929,0.261,0.5014
LightGBM,3,0.6609,0.2039,0.227,0.6535,0.5796,0.1583,0.9325,0.2549,0.4781
RF,3,0.6522,0.1939,0.2286,0.6286,0.6005,0.16,0.9304,0.255,0.4885
LR,1,0.6503,0.1872,0.2325,0.5964,0.6293,0.163,0.928,0.256,0.4922
