Variable	Table	CodeOrValue	ValueDescription	Count	Cumulative	SkipToItem
LBDRF6LC	FFMR_L	.	Missing	878	8068	
WTPH2YR	GHB_L	4391.8220579 to 241728.85724	Range of Values	6750	6750	
WTPH2YR	GHB_L	0	No blood sample provided	449	7199	
WTPH2YR	GHB_L	.	Missing	0	7199	
LBXGH	GHB_L	3.2 to 17.1	Range of Values	6715	6715	
LBXGH	GHB_L	0	No Lab Result	0	6715	
LBXGH	GHB_L	.	Missing	484	7199	
WTPH2YR	HEPA_L	4391.8220579 to 253478.77765	Range of Values	7583	7583	
WTPH2YR	HEPA_L	0	No blood sample provided	1028	8611	
WTPH2YR	HEPA_L	.	Missing	0	8611	
LBXHA	HEPA_L	1	Positive	3791	3791	
LBXHA	HEPA_L	2	Negative	3511	7302	
LBXHA	HEPA_L	3	Indeterminate	64	7366	
LBXHA	HEPA_L	.	Missing	1245	8611	
WTPH2YR	HEPB_S_L	4391.8220579 to 253478.77765	Range of Values	7583	7583	
WTPH2YR	HEPB_S_L	0	No blood sample provided	1028	8611	
WTPH2YR	HEPB_S_L	.	Missing	0	8611	
LBXHBS	HEPB_S_L	1	Positive	2042	2042	
LBXHBS	HEPB_S_L	2	Negative	5324	7366	
LBXHBS	HEPB_S_L	3	Indeterminate	0	7366	
LBXHBS	HEPB_S_L	.	Missing	1245	8611	
WTPH2YR	HEPBD_L	0 to 241728.85724	Range of Values	8068	8068	
WTPH2YR	HEPBD_L	.	Missing	0	8068	
LBXHBC	HEPBD_L	1	Positive	327	327	
LBXHBC	HEPBD_L	2	Negative	6792	7119	
LBXHBC	HEPBD_L	3	Indeterminate	1	7120	
LBXHBC	HEPBD_L	.	Missing	948	8068	
LBDHBG	HEPBD_L	1	Positive	25	25	
LBDHBG	HEPBD_L	2	Negative	7093	7118	
LBDHBG	HEPBD_L	3	Indeterminate	0	7118	
LBDHBG	HEPBD_L	.	Missing	950	8068	
LBDHD	HEPBD_L	1	Positive	0	0	
LBDHD	HEPBD_L	2	Negative	7118	7118	
LBDHD	HEPBD_L	3	Indeterminate	0	7118	
LBDHD	HEPBD_L	.	Missing	950	8068	
WTPH2YR	HEPC_L	4391.8220579 to 241728.85724	Range of Values	7316	7316	
WTPH2YR	HEPC_L	0	No blood sample provided	752	8068	
WTPH2YR	HEPC_L	.	Missing	0	8068	
LBXHCR	HEPC_L	1	Positive	27	27	
LBXHCR	HEPC_L	2	Negative	113	140	
LBXHCR	HEPC_L	3	Negative Screening HCV Antibody	6975	7115	
LBXHCR	HEPC_L	.	Missing	953	8068	
LBDHCI	HEPC_L	1	Positive	87	87	
LBDHCI	HEPC_L	2	Negative	17	104	
LBDHCI	HEPC_L	3	Negative Screening HCV Antibody	6975	7079	
LBDHCI	HEPC_L	4	Positive HCV RNA	27	7106	
LBDHCI	HEPC_L	.	Missing	962	8068	
LBXHCG	HEPC_L	1	Genotype 1a	10	10	
LBXHCG	HEPC_L	2	Genotype 1b	3	13	
LBXHCG	HEPC_L	3	Gen 1 other than a/b/not determined	1	14	
LBXHCG	HEPC_L	4	Genotype 2	0	14	
LBXHCG	HEPC_L	5	Genotype 3	4	18	
LBXHCG	HEPC_L	6	Genotype 4	0	18	
LBXHCG	HEPC_L	7	Genotype 5	0	18	
LBXHCG	HEPC_L	8	Genotype 6	0	18	
LBXHCG	HEPC_L	9	Genotype undetermined	0	18	
LBXHCG	HEPC_L	.	Missing	8050	8068	
WTPH2YR	HEPE_L	4391.8220579 to 241728.85724	Range of Values	7316	7316	
WTPH2YR	HEPE_L	0	No blood sample provided	752	8068	
WTPH2YR	HEPE_L	.	Missing	0	8068	
LBDHEG	HEPE_L	1	Positive	836	836	
LBDHEG	HEPE_L	2	Negative	6284	7120	
LBDHEG	HEPE_L	3	Indeterminate	1	7121	
LBDHEG	HEPE_L	.	Missing	947	8068	
LBDHEM	HEPE_L	1	Positive	128	128	
LBDHEM	HEPE_L	2	Negative	708	836	
LBDHEM	HEPE_L	3	Indeterminate	0	836	
LBDHEM	HEPE_L	.	Missing	7232	8068	
WTPH2YR	HSCRP_L	4391.8220579 to 253478.77765	Range of Values	7626	7626	
WTPH2YR	HSCRP_L	0	No blood sample provided	1101	8727	
WTPH2YR	HSCRP_L	.	Missing	0	8727	
LBXHSCRP	HSCRP_L	0.11 to 165.63	Range of Values	7282	7282	
LBXHSCRP	HSCRP_L	.	Missing	1445	8727	
LBDHRPLC	HSCRP_L	0	At or above detection limit	7096	7096	
LBDHRPLC	HSCRP_L	1	Below lower detection limit	186	7282	
LBDHRPLC	HSCRP_L	.	Missing	1445	8727	
WTSAF2YR	INS_L	11459.183689 to 561922.42956	Range of Values	3361	3361	
WTSAF2YR	INS_L	0	No Lab Result or Not Fasting for 8 to &lt;24 hours	635	3996	
WTSAF2YR	INS_L	.	Missing	0	3996	
LBXIN	INS_L	0.35 to 699.9	Range of Values	3510	3510	
LBXIN	INS_L	.	Missing	486	3996	
LBDINSI	INS_L	2.1 to 4199.4	Range of Values	3510	3510	
LBDINSI	INS_L	.	Missing	486	3996	
LBDINLC	INS_L	0	Detectable result	3509	3509	
LBDINLC	INS_L	1	Below detectable limit	1	3510	
LBDINLC	INS_L	.	Missing	486	3996	
WTPH2YR	PBCD_L	4391.8220579 to 253478.77765	Range of Values	7626	7626	
WTPH2YR	PBCD_L	0	No blood sample provided	1101	8727	
WTPH2YR	PBCD_L	.	Missing	0	8727	
LBXBPB	PBCD_L	0.085 to 48.07	Range of Values	7586	7586	
LBXBPB	PBCD_L	.	Missing	1141	8727	
LBDBPBSI	PBCD_L	0.004 to 2.322	Range of Values	7586	7586	
LBDBPBSI	PBCD_L	.	Missing	1141	8727	
LBDBPBLC	PBCD_L	0	At or above the detection limit	7586	7586	
LBDBPBLC	PBCD_L	1	Below lower detection limit	0	7586	
LBDBPBLC	PBCD_L	.	Missing	1141	8727	
LBXBCD	PBCD_L	0.046 to 8.379	Range of Values	7586	7586	
LBXBCD	PBCD_L	.	Missing	1141	8727	
LBDBCDSI	PBCD_L	0.409 to 74.548	Range of Values	7586	7586	
LBDBCDSI	PBCD_L	.	Missing	1141	8727	
LBDBCDLC	PBCD_L	0	At or above the detection limit	7257	7257	
LBDBCDLC	PBCD_L	1	Below lower detection limit	329	7586	
LBDBCDLC	PBCD_L	.	Missing	1141	8727	
LBXTHG	PBCD_L	0.12 to 42.49	Range of Values	7586	7586	
LBXTHG	PBCD_L	.	Missing	1141	8727	
LBDTHGSI	PBCD_L	0.6 to 212.03	Range of Values	7586	7586	
LBDTHGSI	PBCD_L	.	Missing	1141	8727	
LBDTHGLC	PBCD_L	0	At or above the detection limit	5610	5610	
LBDTHGLC	PBCD_L	1	Below lower detection limit	1976	7586	
LBDTHGLC	PBCD_L	.	Missing	1141	8727	
LBXBSE	PBCD_L	86 to 867.7	Range of Values	7586	7586	
LBXBSE	PBCD_L	.	Missing	1141	8727	
LBDBSESI	PBCD_L	1.09 to 11.02	Range of Values	7586	7586	
LBDBSESI	PBCD_L	.	Missing	1141	8727	
LBDBSELC	PBCD_L	0	At or above the detection limit	7586	7586	
LBDBSELC	PBCD_L	1	Below lower detection limit	0	7586	
LBDBSELC	PBCD_L	.	Missing	1141	8727	
LBXBMN	PBCD_L	2.48 to 63.17	Range of Values	7586	7586	
LBXBMN	PBCD_L	.	Missing	1141	8727	
LBDBMNSI	PBCD_L	45.14 to 1149.82	Range of Values	7586	7586	
LBDBMNSI	PBCD_L	.	Missing	1141	8727	
LBDBMNLC	PBCD_L	0	At or above the detection limit	7586	7586	
LBDBMNLC	PBCD_L	1	Below lower detection limit	0	7586	
LBDBMNLC	PBCD_L	.	Missing	1141	8727	
WTPH2YR	IHGEM_L	4391.8220579 to 253478.77765	Range of Values	7626	7626	
WTPH2YR	IHGEM_L	0	No blood sample provided	1101	8727	
WTPH2YR	IHGEM_L	.	Missing	0	8727	
LBXIHG	IHGEM_L	0.15 to 17.14	Range of Values	7567	7567	
LBXIHG	IHGEM_L	.	Missing	1160	8727	
LBDIHGSI	IHGEM_L	0.75 to 85.53	Range of Values	7567	7567	
LBDIHGSI	IHGEM_L	.	Missing	1160	8727	
LBDIHGLC	IHGEM_L	0	At or above the detection limit	942	942	
LBDIHGLC	IHGEM_L	1	Below lower detection limit	6625	7567	
LBDIHGLC	IHGEM_L	.	Missing	1160	8727	
LBXBGE	IHGEM_L	0.05 to 0.25	Range of Values	7567	7567	
LBXBGE	IHGEM_L	.	Missing	1160	8727	
LBDBGESI	IHGEM_L	0.25 to 1.25	Range of Values	7567	7567	
LBDBGESI	IHGEM_L	.	Missing	1160	8727	
LBDBGELC	IHGEM_L	0	At or above the detection limit	10	10	
LBDBGELC	IHGEM_L	1	Below lower detection limit	7557	7567	
LBDBGELC	IHGEM_L	.	Missing	1160	8727	
LBXBGM	IHGEM_L	0.18 to 36.1	Range of Values	7567	7567	
LBXBGM	IHGEM_L	.	Missing	1160	8727	
LBDBGMSI	IHGEM_L	0.9 to 180.14	Range of Values	7567	7567	
LBDBGMSI	IHGEM_L	.	Missing	1160	8727	
LBDBGMLC	IHGEM_L	0	At or above the detection limit	4324	4324	
LBDBGMLC	IHGEM_L	1	Below lower detection limit	3243	7567	
LBDBGMLC	IHGEM_L	.	Missing	1160	8727	
WTSAF2YR	GLU_L	11459.183689 to 561922.42956	Range of Values	3361	3361	
WTSAF2YR	GLU_L	0	No Lab Result or Not Fasting for 8 to &lt;24 hours	635	3996	
WTSAF2YR	GLU_L	.	Missing	0	3996	
LBXGLU	GLU_L	59 to 561	Range of Values	3672	3672	
LBXGLU	GLU_L	.	Missing	324	3996	
LBDGLUSI	GLU_L	3.28 to 31.1	Range of Values	3672	3672	
LBDGLUSI	GLU_L	.	Missing	324	3996	
LBDFOTSI	FOLFMS_L	3.89 to 445	Range of Values	7348	7348	
LBDFOTSI	FOLFMS_L	.	Missing	1379	8727	
LBDFOT	FOLFMS_L	1.72 to 196	Range of Values	7348	7348	
LBDFOT	FOLFMS_L	.	Missing	1379	8727	
LBXSF1SI	FOLFMS_L	2.7 to 338	Range of Values	7348	7348	
LBXSF1SI	FOLFMS_L	.	Missing	1379	8727	
LBDSF1LC	FOLFMS_L	0	At or above the detection limit	7348	7348	
LBDSF1LC	FOLFMS_L	1	Below lower detection limit	0	7348	
LBDSF1LC	FOLFMS_L	.	Missing	1379	8727	
LBXSF2SI	FOLFMS_L	0.056 to 317	Range of Values	7348	7348	
LBXSF2SI	FOLFMS_L	.	Missing	1379	8727	
LBDSF2LC	FOLFMS_L	0	At or above the detection limit	7272	7272	
LBDSF2LC	FOLFMS_L	1	Below lower detection limit	76	7348	
LBDSF2LC	FOLFMS_L	.	Missing	1379	8727	
LBXSF3SI	FOLFMS_L	0.141 to 1.48	Range of Values	7348	7348	
LBXSF3SI	FOLFMS_L	.	Missing	1379	8727	
LBDSF3LC	FOLFMS_L	0	At or above the detection limit	17	17	
LBDSF3LC	FOLFMS_L	1	Below lower detection limit	7331	7348	
LBDSF3LC	FOLFMS_L	.	Missing	1379	8727	
LBXSF4SI	FOLFMS_L	0.177 to 31	Range of Values	7348	7348	
LBXSF4SI	FOLFMS_L	.	Missing	1379	8727	
LBDSF4LC	FOLFMS_L	0	At or above the detection limit	7033	7033	
LBDSF4LC	FOLFMS_L	1	Below lower detection limit	315	7348	
LBDSF4LC	FOLFMS_L	.	Missing	1379	8727	
LBXSF5SI	FOLFMS_L	0.141 to 7.14	Range of Values	7348	7348	
LBXSF5SI	FOLFMS_L	.	Missing	1379	8727	
LBDSF5LC	FOLFMS_L	0	At or above the detection limit	270	270	
LBDSF5LC	FOLFMS_L	1	Below lower detection limit	7078	7348	
LBDSF5LC	FOLFMS_L	.	Missing	1379	8727	
LBXSF6SI	FOLFMS_L	0.062 to 38.9	Range of Values	7348	7348	
LBXSF6SI	FOLFMS_L	.	Missing	1379	8727	
LBDSF6LC	FOLFMS_L	0	At or above the detection limit	7348	7348	
LBDSF6LC	FOLFMS_L	1	Below lower detection limit	0	7348	
LBDSF6LC	FOLFMS_L	.	Missing	1379	8727	
WTPH2YR	TST_L	4391.8220579 to 253478.77765	Range of Values	7532	7532	
WTPH2YR	TST_L	0	No blood sample provided	961	8493	
WTPH2YR	TST_L	.	Missing	0	8493	
LBX17H	TST_L	0.29 to 1840	Range of Values	7120	7120	
LBX17H	TST_L	.	Missing	1373	8493	
LBD17HSI	TST_L	0.00879 to 55.8	Range of Values	7120	7120	
LBD17HSI	TST_L	.	Missing	1373	8493	
LBD17HLC	TST_L	0	At or above the detection limit	7112	7112	
LBD17HLC	TST_L	1	Below lower detection limit	8	7120	
LBD17HLC	TST_L	.	Missing	1373	8493	
LBXAND	TST_L	0.58 to 755	Range of Values	7190	7190	
LBXAND	TST_L	.	Missing	1303	8493	
LBDANDSI	TST_L	0.0202 to 26.3	Range of Values	7190	7190	
LBDANDSI	TST_L	.	Missing	1303	8493	
LBDANDLC	TST_L	0	At or above the detection limit	7186	7186	
LBDANDLC	TST_L	1	Below lower detection limit	4	7190	
LBDANDLC	TST_L	.	Missing	1303	8493	
LBXAMH	TST_L	0.02 to 45.92	Range of Values	6823	6823	
LBXAMH	TST_L	.	Missing	1670	8493	
LBDAMHSI	TST_L	0.14 to 327.87	Range of Values	6823	6823	
LBDAMHSI	TST_L	.	Missing	1670	8493	
LBDAMHLC	TST_L	0	At or above the detection limit	4902	4902	
LBDAMHLC	TST_L	1	Below lower detection limit	1921	6823	
LBDAMHLC	TST_L	.	Missing	1670	8493	
LBXDHE	TST_L	0.156 to 601	Range of Values	7065	7065	
LBXDHE	TST_L	.	Missing	1428	8493	
LBDDHESI	TST_L	0.00423 to 16.3	Range of Values	7065	7065	
LBDDHESI	TST_L	.	Missing	1428	8493	
LBDDHELC	TST_L	0	At or above the detection limit	7057	7057	
LBDDHELC	TST_L	1	Below lower detection limit	8	7065	
LBDDHELC	TST_L	.	Missing	1428	8493	
LBXEST	TST_L	1.22 to 13200	Range of Values	7148	7148	
LBXEST	TST_L	.	Missing	1345	8493	
LBDESTSI	TST_L	4.48 to 48400	Range of Values	7148	7148	
LBDESTSI	TST_L	.	Missing	1345	8493	
LBDESTLC	TST_L	0	At or above the detection limit	6450	6450	
LBDESTLC	TST_L	1	Below lower detection limit	698	7148	
LBDESTLC	TST_L	.	Missing	1345	8493	
LBXESO	TST_L	0.0919 to 510	Range of Values	7159	7159	
LBXESO	TST_L	.	Missing	1334	8493	
LBDESOSI	TST_L	3.4 to 18900	Range of Values	7159	7159	
LBDESOSI	TST_L	.	Missing	1334	8493	
LBDESOLC	TST_L	0	At or above the detection limit	6993	6993	
LBDESOLC	TST_L	1	Below lower detection limit	166	7159	
LBDESOLC	TST_L	.	Missing	1334	8493	
LBXES1	TST_L	1.44 to 25400	Range of Values	7013	7013	
LBXES1	TST_L	.	Missing	1480	8493	
LBDES1SI	TST_L	3.93 to 69300	Range of Values	7013	7013	
LBDES1SI	TST_L	.	Missing	1480	8493	
LBDES1LC	TST_L	0	At or above the detection limit	6966	6966	
LBDES1LC	TST_L	1	Below lower detection limit	47	7013	
LBDES1LC	TST_L	.	Missing	1480	8493	
LBXFSH	TST_L	0.21 to 194.7	Range of Values	7014	7014	
LBXFSH	TST_L	.	Missing	1479	8493	
LBDFSHLC	TST_L	0	At or above the detection limit	6919	6919	
LBDFSHLC	TST_L	1	Below lower detection limit	95	7014	
LBDFSHLC	TST_L	.	Missing	1479	8493	
LBXLUH	TST_L	0.07 to 116.2	Range of Values	7014	7014	
LBXLUH	TST_L	.	Missing	1479	8493	
LBDLUHLC	TST_L	0	At or above the detection limit	6624	6624	
LBDLUHLC	TST_L	1	Below lower detection limit	390	7014	
LBDLUHLC	TST_L	.	Missing	1479	8493	
LBXPG4	TST_L	0.608 to 12800	Range of Values	7136	7136	
LBXPG4	TST_L	.	Missing	1357	8493	
LBDPG4SI	TST_L	0.0193 to 407	Range of Values	7136	7136	
LBDPG4SI	TST_L	.	Missing	1357	8493	
LBDPG4LC	TST_L	0	At or above the detection limit	6701	6701	
LBDPG4LC	TST_L	1	Below lower detection limit	435	7136	
LBDPG4LC	TST_L	.	Missing	1357	8493	
LBXSHBG	TST_L	1.18 to 671.9	Range of Values	7191	7191	
LBXSHBG	TST_L	.	Missing	1302	8493	
LBDSHGLC	TST_L	0	At or above the detection limit	7191	7191	
LBDSHGLC	TST_L	1	Below lower detection limit	0	7191	
LBDSHGLC	TST_L	.	Missing	1302	8493	
LBXTST	TST_L	0.403 to 5180	Range of Values	7160	7160	
LBXTST	TST_L	.	Missing	1333	8493	
LBDTSTSI	TST_L	0.014 to 180	Range of Values	7160	7160	
LBDTSTSI	TST_L	.	Missing	1333	8493	
LBDTSTLC	TST_L	0	At or above the detection limit	7062	7062	
LBDTSTLC	TST_L	1	Below lower detection limit	98	7160	
LBDTSTLC	TST_L	.	Missing	1333	8493	
WTPH2YR	BIOPRO_L	4391.8220579 to 241728.85724	Range of Values	6750	6750	
WTPH2YR	BIOPRO_L	0	No blood sample provided	449	7199	
WTPH2YR	BIOPRO_L	.	Missing	0	7199	
LBXSATSI	BIOPRO_L	3 to 350	Range of Values	6321	6321	
LBXSATSI	BIOPRO_L	.	Missing	878	7199	
LBXSAL	BIOPRO_L	2.2 to 5.5	Range of Values	6366	6366	
LBXSAL	BIOPRO_L	.	Missing	833	7199	
LBDSALSI	BIOPRO_L	22 to 55	Range of Values	6366	6366	
LBDSALSI	BIOPRO_L	.	Missing	833	7199	
LBXSAPSI	BIOPRO_L	20 to 731	Range of Values	6327	6327	
LBXSAPSI	BIOPRO_L	.	Missing	872	7199	
LBXSASSI	BIOPRO_L	6 to 518	Range of Values	6308	6308	
LBXSASSI	BIOPRO_L	.	Missing	891	7199	
LBXSC3SI	BIOPRO_L	15 to 37	Range of Values	6325	6325	
LBXSC3SI	BIOPRO_L	.	Missing	874	7199	
LBXSBU	BIOPRO_L	4 to 74	Range of Values	6326	6326	
LBXSBU	BIOPRO_L	.	Missing	873	7199	
LBDSBUSI	BIOPRO_L	1.4 to 26.4	Range of Values	6326	6326	
LBDSBUSI	BIOPRO_L	.	Missing	873	7199	
LBXSCLSI	BIOPRO_L	82 to 133	Range of Values	6329	6329	
LBXSCLSI	BIOPRO_L	.	Missing	870	7199	
LBXSCK	BIOPRO_L	10 to 16837	Range of Values	6321	6321	
LBXSCK	BIOPRO_L	.	Missing	878	7199	
LBXSCR	BIOPRO_L	0.33 to 15.17	Range of Values	6326	6326	
LBXSCR	BIOPRO_L	.	Missing	873	7199	
LBDSCRSI	BIOPRO_L	29.17 to 1341.03	Range of Values	6326	6326	
LBDSCRSI	BIOPRO_L	.	Missing	873	7199	
LBXSGB	BIOPRO_L	1.7 to 5.7	Range of Values	6364	6364	
LBXSGB	BIOPRO_L	.	Missing	835	7199	
LBDSGBSI	BIOPRO_L	17 to 57	Range of Values	6364	6364	
LBDSGBSI	BIOPRO_L	.	Missing	835	7199	
LBXSGL	BIOPRO_L	40 to 898	Range of Values	6357	6357	
LBXSGL	BIOPRO_L	.	Missing	842	7199	
LBDSGLSI	BIOPRO_L	2 to 50	Range of Values	6357	6357	
LBDSGLSI	BIOPRO_L	.	Missing	842	7199	
LBXSGTSI	BIOPRO_L	2 to 1541	Range of Values	6327	6327	
LBXSGTSI	BIOPRO_L	.	Missing	872	7199	
LBDSGTLC	BIOPRO_L	0	At or above detection limit	6326	6326	
LBDSGTLC	BIOPRO_L	1	Below lower detection limit	1	6327	
LBDSGTLC	BIOPRO_L	.	Missing	872	7199	
LBXSIR	BIOPRO_L	8 to 379	Range of Values	6364	6364	
LBXSIR	BIOPRO_L	.	Missing	835	7199	
LBDSIRSI	BIOPRO_L	1 to 68	Range of Values	6364	6364	
LBDSIRSI	BIOPRO_L	.	Missing	835	7199	
LBXSLDSI	BIOPRO_L	42 to 837	Range of Values	4740	4740	
LBXSLDSI	BIOPRO_L	.	Missing	2459	7199	
LBXMAGN	BIOPRO_L	0.7 to 2.8	Range of Values	6324	6324	
LBXMAGN	BIOPRO_L	.	Missing	875	7199	
LBXSOSSI	BIOPRO_L	240 to 334	Range of Values	6322	6322	
LBXSOSSI	BIOPRO_L	.	Missing	877	7199	
LBXSPH	BIOPRO_L	1.6 to 7	Range of Values	6322	6322	
LBXSPH	BIOPRO_L	.	Missing	877	7199	
LBDSPHSI	BIOPRO_L	0.52 to 2.26	Range of Values	6322	6322	
LBDSPHSI	BIOPRO_L	.	Missing	877	7199	
LBXSKSI	BIOPRO_L	2.5 to 6.4	Range of Values	6281	6281	
LBXSKSI	BIOPRO_L	.	Missing	918	7199	
LBXSNASI	BIOPRO_L	120 to 167	Range of Values	6366	6366	
LBXSNASI	BIOPRO_L	.	Missing	833	7199	
LBXSTB	BIOPRO_L	0.11 to 14.2	Range of Values	6325	6325	
LBXSTB	BIOPRO_L	.	Missing	874	7199	
LBDSTBSI	BIOPRO_L	3.42 to 242.82	Range of Values	6193	6193	
LBDSTBSI	BIOPRO_L	.	Missing	1006	7199	
LBDSTBLC	BIOPRO_L	0	At or above detection limit	6193	6193	
LBDSTBLC	BIOPRO_L	1	Below lower detection limit	132	6325	
LBDSTBLC	BIOPRO_L	.	Missing	874	7199	
LBXSCA	BIOPRO_L	7.5 to 11.7	Range of Values	6362	6362	
LBXSCA	BIOPRO_L	.	Missing	837	7199	
LBDSCASI	BIOPRO_L	1.9 to 2.9	Range of Values	6362	6362	
LBDSCASI	BIOPRO_L	.	Missing	837	7199	
LBXSCH	BIOPRO_L	63 to 454	Range of Values	6328	6328	
LBXSCH	BIOPRO_L	.	Missing	871	7199	
LBDSCHSI	BIOPRO_L	1.63 to 11.76	Range of Values	6328	6328	
LBDSCHSI	BIOPRO_L	.	Missing	871	7199	
LBXSTP	BIOPRO_L	5 to 9.1	Range of Values	6364	6364	
LBXSTP	BIOPRO_L	.	Missing	835	7199	
LBDSTPSI	BIOPRO_L	50 to 91	Range of Values	6364	6364	
LBDSTPSI	BIOPRO_L	.	Missing	835	7199	
LBXSTR	BIOPRO_L	24 to 1724	Range of Values	6359	6359	
LBXSTR	BIOPRO_L	.	Missing	840	7199	
LBDSTRSI	BIOPRO_L	0.27 to 19.48	Range of Values	6359	6359	
LBDSTRSI	BIOPRO_L	.	Missing	840	7199	
LBXSUA	BIOPRO_L	1.1 to 13.2	Range of Values	6329	6329	
LBXSUA	BIOPRO_L	.	Missing	870	7199	
LBDSUASI	BIOPRO_L	65.4 to 785.1	Range of Values	6329	6329	
LBDSUASI	BIOPRO_L	.	Missing	870	7199	
WTPH2YR	TFR_L	6213.3002375 to 253478.77765	Range of Values	2051	2051	
WTPH2YR	TFR_L	0	No blood sample provided	513	2564	
WTPH2YR	TFR_L	.	Missing	0	2564	
LBXTFR	TFR_L	1.41 to 29.4	Range of Values	1949	1949	
LBXTFR	TFR_L	.	Missing	615	2564	
LBDTFRSI	TFR_L	16.6 to 347	Range of Values	1949	1949	
LBDTFRSI	TFR_L	.	Missing	615	2564	
URXPREG	UCPREG_L	1	Positive	41	41	
URXPREG	UCPREG_L	2	Negative	1078	1119	
URXPREG	UCPREG_L	3	Not Done	11	1130	
URXPREG	UCPREG_L	4	Invalid	0	1130	
URXPREG	UCPREG_L	.	Missing	4	1134	
WTPH2YR	VID_L	4391.8220579 to 253478.77765	Range of Values	7626	7626	
WTPH2YR	VID_L	0	No blood sample provided	1101	8727	
WTPH2YR	VID_L	.	Missing	0	8727	
LBXVIDMS	VID_L	7.97 to 424	Range of Values	7307	7307	
LBXVIDMS	VID_L	.	Missing	1420	8727	
LBDVIDLC	VID_L	0	At or above the detection limit	7307	7307	
LBDVIDLC	VID_L	1	Below lower detection limit	0	7307	
LBDVIDLC	VID_L	.	Missing	1420	8727	
LBXVD2MS	VID_L	1.57 to 239	Range of Values	7307	7307	
LBXVD2MS	VID_L	.	Missing	1420	8727	
LBDVD2LC	VID_L	0	At or above the detection limit	1447	1447	
LBDVD2LC	VID_L	1	Below lower detection limit	5860	7307	
LBDVD2LC	VID_L	.	Missing	1420	8727	
LBXVD3MS	VID_L	4.1 to 422	Range of Values	7308	7308	
LBXVD3MS	VID_L	.	Missing	1419	8727	
LBDVD3LC	VID_L	0	At or above the detection limit	7308	7308	
LBDVD3LC	VID_L	1	Below lower detection limit	0	7308	
LBDVD3LC	VID_L	.	Missing	1419	8727	
LBXVE3MS	VID_L	0.54 to 62.8	Range of Values	7238	7238	
LBXVE3MS	VID_L	.	Missing	1489	8727	
LBDVE3LC	VID_L	0	At or above the detection limit	7168	7168	
LBDVE3LC	VID_L	1	Below lower detection limit	70	7238	
LBDVE3LC	VID_L	.	Missing	1489	8727	
WTSVOC2Y	VOCWB_L	11386.962716 to 543590.56928	Range of Values	2960	2960	
WTSVOC2Y	VOCWB_L	0	No Lab Result	658	3618	
WTSVOC2Y	VOCWB_L	.	Missing	0	3618	
LBX2DF	VOCWB_L	0.0078 to 0.857	Range of Values	2960	2960	
LBX2DF	VOCWB_L	.	Missing	658	3618	
LBD2DFLC	VOCWB_L	0	At or above detection limit	411	411	
LBD2DFLC	VOCWB_L	1	Below lower detection limit	2549	2960	
LBD2DFLC	VOCWB_L	.	Missing	658	3618	
LBXV06	VOCWB_L	0.086 to 14	Range of Values	2914	2914	
LBXV06	VOCWB_L	.	Missing	704	3618	
LBDV06LC	VOCWB_L	0	At or above detection limit	4	4	
LBDV06LC	VOCWB_L	1	Below lower detection limit	2910	2914	
LBDV06LC	VOCWB_L	.	Missing	704	3618	
LBXV07N	VOCWB_L	0.071 to 0.598	Range of Values	2931	2931	
LBXV07N	VOCWB_L	.	Missing	687	3618	
LBDV07LC	VOCWB_L	0	At or above detection limit	11	11	
LBDV07LC	VOCWB_L	1	Below lower detection limit	2920	2931	
LBDV07LC	VOCWB_L	.	Missing	687	3618	
LBXV08N	VOCWB_L	0.071 to 0.295	Range of Values	2959	2959	
LBXV08N	VOCWB_L	.	Missing	659	3618	
LBDV08LC	VOCWB_L	0	At or above detection limit	5	5	
LBDV08LC	VOCWB_L	1	Below lower detection limit	2954	2959	
LBDV08LC	VOCWB_L	.	Missing	659	3618	
LBXV1D	VOCWB_L	0.0177 to 0.0177	Range of Values	2936	2936	
LBXV1D	VOCWB_L	.	Missing	682	3618	
LBDV1DLC	VOCWB_L	0	At or above detection limit	0	0	
LBDV1DLC	VOCWB_L	1	Below lower detection limit	2936	2936	
LBDV1DLC	VOCWB_L	.	Missing	682	3618	
LBXV2A	VOCWB_L	0.0071 to 0.141	Range of Values	2939	2939	
LBXV2A	VOCWB_L	.	Missing	679	3618	
LBDV2ALC	VOCWB_L	0	At or above detection limit	52	52	
LBDV2ALC	VOCWB_L	1	Below lower detection limit	2887	2939	
LBDV2ALC	VOCWB_L	.	Missing	679	3618	
LBXV3B	VOCWB_L	0.0177 to 0.0177	Range of Values	2960	2960	
LBXV3B	VOCWB_L	.	Missing	658	3618	
LBDV3BLC	VOCWB_L	0	At or above detection limit	0	0	
LBDV3BLC	VOCWB_L	1	Below lower detection limit	2960	2960	
LBDV3BLC	VOCWB_L	.	Missing	658	3618	
LBXV4C	VOCWB_L	0.0339 to 3.63	Range of Values	2960	2960	
LBXV4C	VOCWB_L	.	Missing	658	3618	
LBDV4CLC	VOCWB_L	0	At or above detection limit	171	171	
LBDV4CLC	VOCWB_L	1	Below lower detection limit	2789	2960	
LBDV4CLC	VOCWB_L	.	Missing	658	3618	
LBXVAPN	VOCWB_L	0.0141 to 5.49	Range of Values	2934	2934	
LBXVAPN	VOCWB_L	.	Missing	684	3618	
LBDVAPLC	VOCWB_L	0	At or above detection limit	2020	2020	
LBDVAPLC	VOCWB_L	1	Below lower detection limit	914	2934	
LBDVAPLC	VOCWB_L	.	Missing	684	3618	
