"Variable"	"Table"	"CodeOrValue"	"ValueDescription"	"Count"	"Cumulative"	"SkipToItem"
"WTSA2YR"	"AA_H"	"16284.37488 to 530325.34726"	"Range of Values"	2724	2724	
"WTSA2YR"	"AA_H"	"0"	"No Lab Result"	31	2755	
"WTSA2YR"	"AA_H"	"."	"Missing"	0	2755	
"URX1NP"	"AA_H"	"0.91 to 441"	"Range of Values"	2478	2478	
"URX1NP"	"AA_H"	"."	"Missing"	277	2755	
"URD1NPLC"	"AA_H"	"0"	"At or above detection limit"	1776	1776	
"URD1NPLC"	"AA_H"	"1"	"Below lower detection limit"	702	2478	
"URD1NPLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2478	
"URD1NPLC"	"AA_H"	"."	"Missing"	277	2755	
"URX2NP"	"AA_H"	"1.97 to 428"	"Range of Values"	2488	2488	
"URX2NP"	"AA_H"	"."	"Missing"	267	2755	
"URD2NPLC"	"AA_H"	"0"	"At or above detection limit"	1853	1853	
"URD2NPLC"	"AA_H"	"1"	"Below lower detection limit"	635	2488	
"URD2NPLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2488	
"URD2NPLC"	"AA_H"	"."	"Missing"	267	2755	
"URX4BP"	"AA_H"	"1.24 to 1310"	"Range of Values"	2492	2492	
"URX4BP"	"AA_H"	"."	"Missing"	263	2755	
"URD4BPLC"	"AA_H"	"0"	"At or above detection limit"	1948	1948	
"URD4BPLC"	"AA_H"	"1"	"Below lower detection limit"	544	2492	
"URD4BPLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2492	
"URD4BPLC"	"AA_H"	"."	"Missing"	263	2755	
"URXANS"	"AA_H"	"4.96 to 4080"	"Range of Values"	2332	2332	
"URXANS"	"AA_H"	"."	"Missing"	423	2755	
"URDANSLC"	"AA_H"	"0"	"At or above detection limit"	2282	2282	
"URDANSLC"	"AA_H"	"1"	"Below lower detection limit"	50	2332	
"URDANSLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2332	
"URDANSLC"	"AA_H"	"."	"Missing"	423	2755	
"URXDMN"	"AA_H"	"11.08 to 13600000"	"Range of Values"	2375	2375	
"URXDMN"	"AA_H"	"."	"Missing"	380	2755	
"URDDMNLC"	"AA_H"	"0"	"At or above detection limit"	1525	1525	
"URDDMNLC"	"AA_H"	"1"	"Below lower detection limit"	850	2375	
"URDDMNLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2375	
"URDDMNLC"	"AA_H"	"."	"Missing"	380	2755	
"URXOTD"	"AA_H"	"78.64 to 16600"	"Range of Values"	2412	2412	
"URXOTD"	"AA_H"	"."	"Missing"	343	2755	
"URDOTDLC"	"AA_H"	"0"	"At or above detection limit"	2060	2060	
"URDOTDLC"	"AA_H"	"1"	"Below lower detection limit"	352	2412	
"URDOTDLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2412	
"URDOTDLC"	"AA_H"	"."	"Missing"	343	2755	
"WTFSM"	"AAS_H"	"6426.907677 to 456840.9815"	"Range of Values"	2546	2546	
"WTFSM"	"AAS_H"	"0"	"No Lab Result"	59	2605	
"WTFSM"	"AAS_H"	"."	"Missing"	0	2605	
"URX1NP"	"AAS_H"	"0.91 to 498"	"Range of Values"	2325	2325	
"URX1NP"	"AAS_H"	"."	"Missing"	280	2605	
"URD1NPLC"	"AAS_H"	"0"	"At or above detection limit"	1809	1809	
"URD1NPLC"	"AAS_H"	"1"	"Below lower detection limit"	516	2325	
"URD1NPLC"	"AAS_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2325	
"URD1NPLC"	"AAS_H"	"."	"Missing"	280	2605	
"URX2NP"	"AAS_H"	"1.97 to 428"	"Range of Values"	2355	2355	
"URX2NP"	"AAS_H"	"."	"Missing"	250	2605	
"URD2NPLC"	"AAS_H"	"0"	"At or above detection limit"	1885	1885	
"URD2NPLC"	"AAS_H"	"1"	"Below lower detection limit"	470	2355	
"URD2NPLC"	"AAS_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2355	
"URD2NPLC"	"AAS_H"	"."	"Missing"	250	2605	
"URX4BP"	"AAS_H"	"1.24 to 1310"	"Range of Values"	2385	2385	
"URX4BP"	"AAS_H"	"."	"Missing"	220	2605	
"URD4BPLC"	"AAS_H"	"0"	"At or above detection limit"	1964	1964	
"URD4BPLC"	"AAS_H"	"1"	"Below lower detection limit"	421	2385	
"URD4BPLC"	"AAS_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2385	
"URD4BPLC"	"AAS_H"	"."	"Missing"	220	2605	
"URXANS"	"AAS_H"	"4.96 to 4080"	"Range of Values"	2194	2194	
"URXANS"	"AAS_H"	"."	"Missing"	411	2605	
"URDANSLC"	"AAS_H"	"0"	"At or above detection limit"	2152	2152	
"URDANSLC"	"AAS_H"	"1"	"Below lower detection limit"	42	2194	
"URDANSLC"	"AAS_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2194	
"URDANSLC"	"AAS_H"	"."	"Missing"	411	2605	
"URXDMN"	"AAS_H"	"11.08 to 13600000"	"Range of Values"	2241	2241	
"URXDMN"	"AAS_H"	"."	"Missing"	364	2605	
"URDDMNLC"	"AAS_H"	"0"	"At or above detection limit"	1558	1558	
"URDDMNLC"	"AAS_H"	"1"	"Below lower detection limit"	683	2241	
"URDDMNLC"	"AAS_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2241	
"URDDMNLC"	"AAS_H"	"."	"Missing"	364	2605	
"URXOTD"	"AAS_H"	"78.64 to 16600"	"Range of Values"	2281	2281	
"URXOTD"	"AAS_H"	"."	"Missing"	324	2605	
"URDOTDLC"	"AAS_H"	"0"	"At or above detection limit"	1996	1996	
"URDOTDLC"	"AAS_H"	"1"	"Below lower detection limit"	285	2281	
"URDOTDLC"	"AAS_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2281	
"URDOTDLC"	"AAS_H"	"."	"Missing"	324	2605	
"ACD010A"	"ACQ"	"1"	"English"	4351	4351	
"ACD010A"	"ACQ"	"7"	"Refused"	3	4354	
"ACD010A"	"ACQ"	"9"	"Don't know"	1	4355	
"ACD010A"	"ACQ"	"."	"Missing"	2940	7295	
"ACD010B"	"ACQ"	"2"	"Spanish"	17	17	
"ACD010B"	"ACQ"	"."	"Missing"	7278	7295	
"ACD010C"	"ACQ"	"3"	"Other"	240	240	
"ACD010C"	"ACQ"	"."	"Missing"	7055	7295	
"ACQ020"	"ACQ"	"1"	"Only Spanish"	695	695	
"ACQ020"	"ACQ"	"2"	"Spanish better than English"	427	1122	
"ACQ020"	"ACQ"	"3"	"Both equally"	626	1748	
"ACQ020"	"ACQ"	"4"	"English better than Spanish or"	646	2394	
"ACQ020"	"ACQ"	"5"	"Only English?"	369	2763	
"ACQ020"	"ACQ"	"7"	"Refused"	0	2763	
"ACQ020"	"ACQ"	"9"	"Don't know"	5	2768	
"ACQ020"	"ACQ"	"."	"Missing"	4527	7295	
"ACQ030"	"ACQ"	"1"	"Only Spanish"	1539	1539	
"ACQ030"	"ACQ"	"2"	"More Spanish than English"	332	1871	
"ACQ030"	"ACQ"	"3"	"Both equally"	265	2136	
"ACQ030"	"ACQ"	"4"	"More English than Spanish or"	239	2375	
"ACQ030"	"ACQ"	"5"	"Only English?"	385	2760	
"ACQ030"	"ACQ"	"7"	"Refused"	0	2760	
"ACQ030"	"ACQ"	"9"	"Don't know"	8	2768	
"ACQ030"	"ACQ"	"."	"Missing"	4527	7295	
"ACD040"	"ACQ"	"1"	"Only Spanish"	1051	1051	
"ACD040"	"ACQ"	"2"	"More Spanish than English"	359	1410	
"ACD040"	"ACQ"	"3"	"Both equally"	460	1870	
"ACD040"	"ACQ"	"4"	"More English than Spanish or"	347	2217	
"ACD040"	"ACQ"	"5"	"Only English?"	547	2764	
"ACD040"	"ACQ"	"7"	"Refused"	0	2764	
"ACD040"	"ACQ"	"9"	"Don't know"	4	2768	
"ACD040"	"ACQ"	"."	"Missing"	4527	7295	
"ACQ050"	"ACQ"	"1"	"Only Spanish"	949	949	
"ACQ050"	"ACQ"	"2"	"More Spanish than English"	201	1150	
"ACQ050"	"ACQ"	"3"	"Both equally"	454	1604	
"ACQ050"	"ACQ"	"4"	"More English than Spanish or"	348	1952	
"ACQ050"	"ACQ"	"5"	"Only English?"	773	2725	
"ACQ050"	"ACQ"	"7"	"Refused"	0	2725	
"ACQ050"	"ACQ"	"9"	"Don't know"	43	2768	
"ACQ050"	"ACQ"	"."	"Missing"	4527	7295	
"ACQ060"	"ACQ"	"1"	"Only Spanish"	846	846	
"ACQ060"	"ACQ"	"2"	"More Spanish than English"	245	1091	
"ACQ060"	"ACQ"	"3"	"Both equally"	472	1563	
"ACQ060"	"ACQ"	"4"	"More English than Spanish or"	470	2033	
"ACQ060"	"ACQ"	"5"	"Only English?"	729	2762	
"ACQ060"	"ACQ"	"7"	"Refused"	0	2762	
"ACQ060"	"ACQ"	"9"	"Don't know"	6	2768	
"ACQ060"	"ACQ"	"."	"Missing"	4527	7295	
"ACD070"	"ACQ"	"1"	"United States except Puerto Rico"	657	657	
"ACD070"	"ACQ"	"2"	"Puerto Rico"	79	736	
"ACD070"	"ACQ"	"3"	"Cuba"	84	820	
"ACD070"	"ACQ"	"4"	"Mexico"	1686	2506	
"ACD070"	"ACQ"	"5"	"Other country"	171	2677	
"ACD070"	"ACQ"	"6"	"Dominican Republic"	67	2744	
"ACD070"	"ACQ"	"77"	"Refused"	0	2744	
"ACD070"	"ACQ"	"99"	"Don't know"	24	2768	
"ACD070"	"ACQ"	"."	"Missing"	4527	7295	
"ACD080"	"ACQ"	"1"	"United States except Puerto Rico"	776	776	
"ACD080"	"ACQ"	"2"	"Puerto Rico"	81	857	
"ACD080"	"ACQ"	"3"	"Cuba"	83	940	
"ACD080"	"ACQ"	"4"	"Mexico"	1605	2545	
"ACD080"	"ACQ"	"5"	"Other country"	143	2688	
"ACD080"	"ACQ"	"6"	"Dominican Republic"	73	2761	
"ACD080"	"ACQ"	"77"	"Refused"	0	2761	
"ACD080"	"ACQ"	"99"	"Don't know"	7	2768	
"ACD080"	"ACQ"	"."	"Missing"	4527	7295	
"ACD010A"	"ACQ_B"	"1"	"English"	5447	5447	
"ACD010A"	"ACQ_B"	"7"	"Refused"	4	5451	
"ACD010A"	"ACQ_B"	"9"	"Don't know"	0	5451	
"ACD010A"	"ACQ_B"	"."	"Missing"	2447	7898	
"ACD010B"	"ACQ_B"	"2"	"Spanish"	14	14	
"ACD010B"	"ACQ_B"	"."	"Missing"	7884	7898	
"ACD010C"	"ACQ_B"	"3"	"Other"	308	308	
"ACD010C"	"ACQ_B"	"."	"Missing"	7590	7898	
"ACQ020"	"ACQ_B"	"1"	"Only Spanish"	526	526	
"ACQ020"	"ACQ_B"	"2"	"Spanish better than English"	320	846	
"ACQ020"	"ACQ_B"	"3"	"Both equally"	522	1368	
"ACQ020"	"ACQ_B"	"4"	"English better than Spanish or"	510	1878	
"ACQ020"	"ACQ_B"	"5"	"Only English?"	373	2251	
"ACQ020"	"ACQ_B"	"7"	"Refused"	0	2251	
"ACQ020"	"ACQ_B"	"9"	"Don't know"	3	2254	
"ACQ020"	"ACQ_B"	"."	"Missing"	5644	7898	
"ACQ030"	"ACQ_B"	"1"	"Only Spanish"	1195	1195	
"ACQ030"	"ACQ_B"	"2"	"More Spanish than English"	244	1439	
"ACQ030"	"ACQ_B"	"3"	"Both equally"	240	1679	
"ACQ030"	"ACQ_B"	"4"	"More English than Spanish or"	210	1889	
"ACQ030"	"ACQ_B"	"5"	"Only English?"	362	2251	
"ACQ030"	"ACQ_B"	"7"	"Refused"	0	2251	
"ACQ030"	"ACQ_B"	"9"	"Don't know"	3	2254	
"ACQ030"	"ACQ_B"	"."	"Missing"	5644	7898	
"ACD040"	"ACQ_B"	"1"	"Only Spanish"	802	802	
"ACD040"	"ACQ_B"	"2"	"More Spanish than English"	219	1021	
"ACD040"	"ACQ_B"	"3"	"Both equally"	383	1404	
"ACD040"	"ACQ_B"	"4"	"More English than Spanish or"	310	1714	
"ACD040"	"ACQ_B"	"5"	"Only English?"	537	2251	
"ACD040"	"ACQ_B"	"7"	"Refused"	0	2251	
"ACD040"	"ACQ_B"	"9"	"Don't know"	3	2254	
"ACD040"	"ACQ_B"	"."	"Missing"	5644	7898	
"ACQ050"	"ACQ_B"	"1"	"Only Spanish"	698	698	
"ACQ050"	"ACQ_B"	"2"	"More Spanish than English"	166	864	
"ACQ050"	"ACQ_B"	"3"	"Both equally"	395	1259	
"ACQ050"	"ACQ_B"	"4"	"More English than Spanish or"	261	1520	
"ACQ050"	"ACQ_B"	"5"	"Only English?"	704	2224	
"ACQ050"	"ACQ_B"	"7"	"Refused"	0	2224	
"ACQ050"	"ACQ_B"	"9"	"Don't know"	30	2254	
"ACQ050"	"ACQ_B"	"."	"Missing"	5644	7898	
"ACQ060"	"ACQ_B"	"1"	"Only Spanish"	626	626	
"ACQ060"	"ACQ_B"	"2"	"More Spanish than English"	181	807	
"ACQ060"	"ACQ_B"	"3"	"Both equally"	414	1221	
"ACQ060"	"ACQ_B"	"4"	"More English than Spanish or"	318	1539	
"ACQ060"	"ACQ_B"	"5"	"Only English?"	708	2247	
"ACQ060"	"ACQ_B"	"7"	"Refused"	0	2247	
"ACQ060"	"ACQ_B"	"9"	"Don't know"	7	2254	
"ACQ060"	"ACQ_B"	"."	"Missing"	5644	7898	
"ACD070"	"ACQ_B"	"1"	"United States except Puerto Rico"	667	667	
"ACD070"	"ACQ_B"	"2"	"Puerto Rico"	91	758	
"ACD070"	"ACQ_B"	"4"	"Mexico"	1331	2089	
"ACD070"	"ACQ_B"	"5"	"Other country"	149	2238	
"ACD070"	"ACQ_B"	"77"	"Refused"	0	2238	
"ACD070"	"ACQ_B"	"99"	"Don't know"	16	2254	
"ACD070"	"ACQ_B"	"."	"Missing"	5644	7898	
"ACD080"	"ACQ_B"	"1"	"United States except Puerto Rico"	734	734	
"ACD080"	"ACQ_B"	"2"	"Puerto Rico"	86	820	
"ACD080"	"ACQ_B"	"4"	"Mexico"	1284	2104	
"ACD080"	"ACQ_B"	"5"	"Other country"	141	2245	
"ACD080"	"ACQ_B"	"77"	"Refused"	0	2245	
"ACD080"	"ACQ_B"	"99"	"Don't know"	9	2254	
"ACD080"	"ACQ_B"	"."	"Missing"	5644	7898	
"ACD010A"	"ACQ_C"	"1"	"English"	5251	5251	
"ACD010A"	"ACQ_C"	"7"	"Refused"	1	5252	
"ACD010A"	"ACQ_C"	"9"	"Don't know"	0	5252	
"ACD010A"	"ACQ_C"	"."	"Missing"	2092	7344	
"ACD010B"	"ACQ_C"	"2"	"Spanish"	11	11	
"ACD010B"	"ACQ_C"	"."	"Missing"	7333	7344	
"ACD010C"	"ACQ_C"	"3"	"Other"	314	314	
"ACD010C"	"ACQ_C"	"."	"Missing"	7030	7344	
"ACQ020"	"ACQ_C"	"1"	"Only Spanish"	434	434	
"ACQ020"	"ACQ_C"	"2"	"Spanish better than English"	285	719	
"ACQ020"	"ACQ_C"	"3"	"Both equally"	452	1171	
"ACQ020"	"ACQ_C"	"4"	"English better than Spanish or"	416	1587	
"ACQ020"	"ACQ_C"	"5"	"Only English?"	306	1893	
"ACQ020"	"ACQ_C"	"7"	"Refused"	0	1893	
"ACQ020"	"ACQ_C"	"9"	"Don't know"	2	1895	
"ACQ020"	"ACQ_C"	"."	"Missing"	5449	7344	
"ACQ030"	"ACQ_C"	"1"	"Only Spanish"	1046	1046	
"ACQ030"	"ACQ_C"	"2"	"More Spanish than English"	205	1251	
"ACQ030"	"ACQ_C"	"3"	"Both equally"	204	1455	
"ACQ030"	"ACQ_C"	"4"	"More English than Spanish or"	131	1586	
"ACQ030"	"ACQ_C"	"5"	"Only English?"	307	1893	
"ACQ030"	"ACQ_C"	"7"	"Refused"	0	1893	
"ACQ030"	"ACQ_C"	"9"	"Don't know"	2	1895	
"ACQ030"	"ACQ_C"	"."	"Missing"	5449	7344	
"ACD040"	"ACQ_C"	"1"	"Only Spanish"	694	694	
"ACD040"	"ACQ_C"	"2"	"More Spanish than English"	198	892	
"ACD040"	"ACQ_C"	"3"	"Both equally"	368	1260	
"ACD040"	"ACQ_C"	"4"	"More English than Spanish or"	202	1462	
"ACD040"	"ACQ_C"	"5"	"Only English?"	430	1892	
"ACD040"	"ACQ_C"	"7"	"Refused"	0	1892	
"ACD040"	"ACQ_C"	"9"	"Don't know"	3	1895	
"ACD040"	"ACQ_C"	"."	"Missing"	5449	7344	
"ACQ050"	"ACQ_C"	"1"	"Only Spanish"	615	615	
"ACQ050"	"ACQ_C"	"2"	"More Spanish than English"	134	749	
"ACQ050"	"ACQ_C"	"3"	"Both equally"	333	1082	
"ACQ050"	"ACQ_C"	"4"	"More English than Spanish or"	196	1278	
"ACQ050"	"ACQ_C"	"5"	"Only English?"	593	1871	
"ACQ050"	"ACQ_C"	"7"	"Refused"	0	1871	
"ACQ050"	"ACQ_C"	"9"	"Don't know"	24	1895	
"ACQ050"	"ACQ_C"	"."	"Missing"	5449	7344	
"ACQ060"	"ACQ_C"	"1"	"Only Spanish"	546	546	
"ACQ060"	"ACQ_C"	"2"	"More Spanish than English"	167	713	
"ACQ060"	"ACQ_C"	"3"	"Both equally"	383	1096	
"ACQ060"	"ACQ_C"	"4"	"More English than Spanish or"	241	1337	
"ACQ060"	"ACQ_C"	"5"	"Only English?"	550	1887	
"ACQ060"	"ACQ_C"	"7"	"Refused"	0	1887	
"ACQ060"	"ACQ_C"	"9"	"Don't know"	8	1895	
"ACQ060"	"ACQ_C"	"."	"Missing"	5449	7344	
"ACD070"	"ACQ_C"	"1"	"United States except Puerto Rico"	507	507	
"ACD070"	"ACQ_C"	"2"	"Puerto Rico"	44	551	
"ACD070"	"ACQ_C"	"4"	"Mexico"	1173	1724	
"ACD070"	"ACQ_C"	"5"	"Other country"	119	1843	
"ACD070"	"ACQ_C"	"10"	"El Salvador"	35	1878	
"ACD070"	"ACQ_C"	"77"	"Refused"	0	1878	
"ACD070"	"ACQ_C"	"99"	"Don't know"	17	1895	
"ACD070"	"ACQ_C"	"."	"Missing"	5449	7344	
"ACD080"	"ACQ_C"	"1"	"United States except Puerto Rico"	574	574	
"ACD080"	"ACQ_C"	"2"	"Puerto Rico"	30	604	
"ACD080"	"ACQ_C"	"4"	"Mexico"	1130	1734	
"ACD080"	"ACQ_C"	"5"	"Other country"	123	1857	
"ACD080"	"ACQ_C"	"10"	"El Salvador"	30	1887	
"ACD080"	"ACQ_C"	"77"	"Refused"	0	1887	
"ACD080"	"ACQ_C"	"99"	"Don't know"	8	1895	
"ACD080"	"ACQ_C"	"."	"Missing"	5449	7344	
"ACD010A"	"ACQ_D"	"1"	"English"	5164	5164	
"ACD010A"	"ACQ_D"	"77"	"Refused"	6	5170	
"ACD010A"	"ACQ_D"	"99"	"Don't know"	0	5170	
"ACD010A"	"ACQ_D"	"."	"Missing"	2097	7267	
"ACD010B"	"ACQ_D"	"8"	"Spanish"	24	24	
"ACD010B"	"ACQ_D"	"."	"Missing"	7243	7267	
"ACD010C"	"ACQ_D"	"9"	"Other"	240	240	
"ACD010C"	"ACQ_D"	"."	"Missing"	7027	7267	
"ACD040"	"ACQ_D"	"1"	"Only Spanish"	658	658	
"ACD040"	"ACQ_D"	"2"	"More Spanish than English"	242	900	
"ACD040"	"ACQ_D"	"3"	"Both equally"	399	1299	
"ACD040"	"ACQ_D"	"4"	"More English than Spanish"	284	1583	
"ACD040"	"ACQ_D"	"5"	"Only English"	377	1960	
"ACD040"	"ACQ_D"	"7"	"Refused"	1	1961	
"ACD040"	"ACQ_D"	"9"	"Don't know"	1	1962	
"ACD040"	"ACQ_D"	"."	"Missing"	5305	7267	
"ACD010A"	"ACQ_E"	"1"	"English"	4817	4817	
"ACD010A"	"ACQ_E"	"77"	"Refused"	1	4818	
"ACD010A"	"ACQ_E"	"99"	"Don't know"	0	4818	
"ACD010A"	"ACQ_E"	"."	"Missing"	2355	7173	
"ACD010B"	"ACQ_E"	"8"	"Spanish"	6	6	
"ACD010B"	"ACQ_E"	"."	"Missing"	7167	7173	
"ACD010C"	"ACQ_E"	"9"	"Other"	261	261	
"ACD010C"	"ACQ_E"	"."	"Missing"	6912	7173	
"ACD040"	"ACQ_E"	"1"	"Only Spanish"	766	766	
"ACD040"	"ACQ_E"	"2"	"More Spanish than English"	324	1090	
"ACD040"	"ACQ_E"	"3"	"Both equally"	352	1442	
"ACD040"	"ACQ_E"	"4"	"More English than Spanish"	360	1802	
"ACD040"	"ACQ_E"	"5"	"Only English"	358	2160	
"ACD040"	"ACQ_E"	"7"	"Refused"	0	2160	
"ACD040"	"ACQ_E"	"9"	"Don't know"	2	2162	
"ACD040"	"ACQ_E"	"."	"Missing"	5011	7173	
"ACD010A"	"ACQ_F"	"1"	"English"	5001	5001	
"ACD010A"	"ACQ_F"	"77"	"Refused"	0	5001	
"ACD010A"	"ACQ_F"	"99"	"Don't know"	0	5001	
"ACD010A"	"ACQ_F"	"."	"Missing"	2556	7557	
"ACD010B"	"ACQ_F"	"8"	"Spanish"	15	15	
"ACD010B"	"ACQ_F"	"."	"Missing"	7542	7557	
"ACD010C"	"ACQ_F"	"9"	"Other"	375	375	
"ACD010C"	"ACQ_F"	"."	"Missing"	7182	7557	
"ACD040"	"ACQ_F"	"1"	"Only Spanish"	833	833	
"ACD040"	"ACQ_F"	"2"	"More Spanish than English"	339	1172	
"ACD040"	"ACQ_F"	"3"	"Both equally"	412	1584	
"ACD040"	"ACQ_F"	"4"	"More English than Spanish"	330	1914	
"ACD040"	"ACQ_F"	"5"	"Only English"	364	2278	
"ACD040"	"ACQ_F"	"7"	"Refused"	0	2278	
"ACD040"	"ACQ_F"	"9"	"Don't know"	2	2280	
"ACD040"	"ACQ_F"	"."	"Missing"	5277	7557	
"ACD011A"	"ACQ_G"	"1"	"English"	4279	4279	
"ACD011A"	"ACQ_G"	"77"	"Refused"	1	4280	
"ACD011A"	"ACQ_G"	"99"	"Don't know"	0	4280	
"ACD011A"	"ACQ_G"	"."	"Missing"	2553	6833	
"ACD011B"	"ACQ_G"	"8"	"Spanish"	19	19	
"ACD011B"	"ACQ_G"	"."	"Missing"	6814	6833	
"ACD011C"	"ACQ_G"	"9"	"Other"	155	155	
"ACD011C"	"ACQ_G"	"."	"Missing"	6678	6833	
"ACD040"	"ACQ_G"	"1"	"Only Spanish"	543	543	
"ACD040"	"ACQ_G"	"2"	"More Spanish than English"	203	746	
"ACD040"	"ACQ_G"	"3"	"Both equally"	258	1004	
"ACD040"	"ACQ_G"	"4"	"More English than Spanish"	250	1254	
"ACD040"	"ACQ_G"	"5"	"Only English"	221	1475	
"ACD040"	"ACQ_G"	"7"	"Refused"	0	1475	
"ACD040"	"ACQ_G"	"9"	"Don't know"	5	1480	
"ACD040"	"ACQ_G"	"."	"Missing"	5353	6833	
"ACD110"	"ACQ_G"	"1"	"Only Non-English language"	455	455	
"ACD110"	"ACQ_G"	"2"	"More Non-English than English"	66	521	
"ACD110"	"ACQ_G"	"3"	"Both equally"	65	586	
"ACD110"	"ACQ_G"	"4"	"More English than Non-English"	97	683	
"ACD110"	"ACQ_G"	"5"	"Only English"	289	972	
"ACD110"	"ACQ_G"	"7"	"Refused"	0	972	
"ACD110"	"ACQ_G"	"9"	"Don't know"	0	972	
"ACD110"	"ACQ_G"	"."	"Missing"	5861	6833	
"ACD011A"	"ACQ_H"	"1"	"English"	5759	5759	
"ACD011A"	"ACQ_H"	"77"	"Refused"	0	5759	
"ACD011A"	"ACQ_H"	"99"	"Don't know"	0	5759	
"ACD011A"	"ACQ_H"	"."	"Missing"	3471	9230	
"ACD011B"	"ACQ_H"	"8"	"Spanish"	16	16	
"ACD011B"	"ACQ_H"	"."	"Missing"	9214	9230	
"ACD011C"	"ACQ_H"	"9"	"Other"	171	171	
"ACD011C"	"ACQ_H"	"."	"Missing"	9059	9230	
"ACD040"	"ACQ_H"	"1"	"Only Spanish"	548	548	
"ACD040"	"ACQ_H"	"2"	"More Spanish than English"	321	869	
"ACD040"	"ACQ_H"	"3"	"Both equally"	444	1313	
"ACD040"	"ACQ_H"	"4"	"More English than Spanish"	483	1796	
"ACD040"	"ACQ_H"	"5"	"Only English"	573	2369	
"ACD040"	"ACQ_H"	"7"	"Refused"	1	2370	
"ACD040"	"ACQ_H"	"9"	"Don't know"	4	2374	
"ACD040"	"ACQ_H"	"."	"Missing"	6856	9230	
"ACD110"	"ACQ_H"	"1"	"Only Non-English language"	370	370	
"ACD110"	"ACQ_H"	"2"	"More Non-English than English"	91	461	
"ACD110"	"ACQ_H"	"3"	"Both equally"	93	554	
"ACD110"	"ACQ_H"	"4"	"More English than Non-English"	119	673	
"ACD110"	"ACQ_H"	"5"	"Only English"	334	1007	
"ACD110"	"ACQ_H"	"7"	"Refused"	0	1007	
"ACD110"	"ACQ_H"	"9"	"Don't know"	0	1007	
"ACD110"	"ACQ_H"	"."	"Missing"	8223	9230	
"ACD011A"	"ACQ_I"	"1"	"English"	4963	4963	
"ACD011A"	"ACQ_I"	"77"	"Refused"	0	4963	
"ACD011A"	"ACQ_I"	"99"	"Don't know"	1	4964	
"ACD011A"	"ACQ_I"	"."	"Missing"	4027	8991	
"ACD011B"	"ACQ_I"	"8"	"Spanish"	16	16	
"ACD011B"	"ACQ_I"	"."	"Missing"	8975	8991	
"ACD011C"	"ACQ_I"	"9"	"Other"	244	244	
"ACD011C"	"ACQ_I"	"."	"Missing"	8747	8991	
"ACD040"	"ACQ_I"	"1"	"Only Spanish"	767	767	
"ACD040"	"ACQ_I"	"2"	"More Spanish than English"	438	1205	
"ACD040"	"ACQ_I"	"3"	"Both equally"	533	1738	
"ACD040"	"ACQ_I"	"4"	"More English than Spanish"	554	2292	
"ACD040"	"ACQ_I"	"5"	"Only English"	588	2880	
"ACD040"	"ACQ_I"	"7"	"Refused"	0	2880	
"ACD040"	"ACQ_I"	"9"	"Don't know"	2	2882	
"ACD040"	"ACQ_I"	"."	"Missing"	6109	8991	
"ACD110"	"ACQ_I"	"1"	"Only Non-English language"	412	412	
"ACD110"	"ACQ_I"	"2"	"More Non-English than English"	101	513	
"ACD110"	"ACQ_I"	"3"	"Both equally"	90	603	
"ACD110"	"ACQ_I"	"4"	"More English than Non-English"	137	740	
"ACD110"	"ACQ_I"	"5"	"Only English"	241	981	
"ACD110"	"ACQ_I"	"7"	"Refused"	0	981	
"ACD110"	"ACQ_I"	"9"	"Don't know"	3	984	
"ACD110"	"ACQ_I"	"."	"Missing"	8007	8991	
"ACD011A"	"ACQ_J"	"1"	"English"	5230	5230	
"ACD011A"	"ACQ_J"	"77"	"Refused"	0	5230	
"ACD011A"	"ACQ_J"	"99"	"Don't know"	0	5230	
"ACD011A"	"ACQ_J"	"."	"Missing"	3191	8421	
"ACD011B"	"ACQ_J"	"8"	"Spanish"	16	16	
"ACD011B"	"ACQ_J"	"."	"Missing"	8405	8421	
"ACD011C"	"ACQ_J"	"9"	"Other"	159	159	
"ACD011C"	"ACQ_J"	"."	"Missing"	8262	8421	
"ACD040"	"ACQ_J"	"1"	"Only Spanish"	529	529	
"ACD040"	"ACQ_J"	"2"	"More Spanish than English"	322	851	
"ACD040"	"ACQ_J"	"3"	"Both equally"	334	1185	
"ACD040"	"ACQ_J"	"4"	"More English than Spanish"	353	1538	
"ACD040"	"ACQ_J"	"5"	"Only English"	414	1952	
"ACD040"	"ACQ_J"	"7"	"Refused"	2	1954	
"ACD040"	"ACQ_J"	"9"	"Don't know"	3	1957	
"ACD040"	"ACQ_J"	"."	"Missing"	6464	8421	
"ACD110"	"ACQ_J"	"1"	"Only Non-English language"	439	439	
