Variable	Table	SASLabel	EnglishText	EnglishInstructions	Target	UseConstraints	IsPhenotype	OntologyMapped
ACD080	ACQ	Mother's country of birth	In what country was {your/SP's} mother born?		Both males and females 12 YEARS - 120 YEARS		TRUE	True
SEQN	ACQ_B	Respondent sequence number	Respondent sequence number.		Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACQ005	ACQ_B			BOX 1. CHECK ITEM ACQ.005: IF SP CODED HISPANIC IN SCREENER GO TO ACQ.020. OTHERWISE CONTINUE.	Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACD010A	ACQ_B	English usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010B	ACQ_B	Spanish usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010C	ACQ_B	Other language(s) usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACQ015	ACQ_B			BOX 2. CHECK ITEM ACQ.015: GO TO END OF SECTION.	Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACQ020	ACQ_B	Language(s) read and spoken	The next questions are about language. In general what language(s) {do you/does SP} read and speak. Would you say . . .	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACQ030	ACQ_B	Language(s) used as child	What was the language(s) {you/SP} used as a child? Would you say …	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACD040	ACQ_B	Language(s) usually spoken at home	What language(s) {do you/does SP} usually speak at home? Would you say...	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACQ050	ACQ_B	Language(s) usually used to think	In which language(s) {do you/does SP} usually think? Would you say...	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACQ060	ACQ_B	Language(s) usually used with friends	What language(s) {do you/does SP} usually speak with {your/his/her} friends? Would you say...	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD070	ACQ_B	Father's country of birth	In what country was {your/SP's} father born?		Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACD080	ACQ_B	Mother's country of birth	In what country was {your/SP's} mother born?		Both males and females 12 YEARS - 150 YEARS		TRUE	True
SEQN	ACQ_C	Respondent sequence number	Respondent sequence number.		Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACQ005	ACQ_C			BOX 1. CHECK ITEM ACQ.005: IF SP CODED HISPANIC IN SCREENER GO TO ACQ.020. OTHERWISE CONTINUE.	Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACD010A	ACQ_C	English usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010B	ACQ_C	Spanish usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010C	ACQ_C	Other language(s) usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACQ015	ACQ_C			BOX 2. CHECK ITEM ACQ.015: GO TO END OF SECTION.	Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACQ020	ACQ_C	Language(s) read and spoken	The next questions are about language. In general what language(s) {do you/does SP} read and speak. Would you say . . .	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACQ030	ACQ_C	Language(s) used as child	What was the language(s) {you/SP} used as a child? Would you say...	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACD040	ACQ_C	Language(s) usually spoken at home	What language(s) {do you/does SP} usually speak at home? Would you say...	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACQ050	ACQ_C	Language(s) usually used to think	In which language(s) {do you/does SP} usually think? Would you say...	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACQ060	ACQ_C	Language(s) usually used with friends	What language(s) {do you/does SP} usually speak with {your/his/her} friends? Would you say...	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD070	ACQ_C	Father's country of birth	In what country was {your/SP's} father born?		Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACD080	ACQ_C	Mother's country of birth	In what country was {your/SP's} mother born?		Both males and females 12 YEARS - 150 YEARS		TRUE	True
SEQN	ACQ_D	Respondent sequence number	Respondent sequence number.		Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACQ005	ACQ_D			BOX 1. CHECK ITEM ACQ005: IF SP CODED HISPANIC IN SCREENER GO TO ACD040. OTHERWISE CONTINUE.	Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACD010A	ACQ_D	English usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010B	ACQ_D	Spanish usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010C	ACQ_D	Other language(s) usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACD040	ACQ_D	Language(s) usually spoken at home	Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
SEQN	ACQ_E	Respondent sequence number	Respondent sequence number.		Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACQ005	ACQ_E			BOX 1. CHECK ITEM ACQ005: IF SP CODED HISPANIC IN SCREENER GO TO ACD040. OTHERWISE CONTINUE.	Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACD010A	ACQ_E	English usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010B	ACQ_E	Spanish usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010C	ACQ_E	Other language(s) usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACD040	ACQ_E	Language(s) usually spoken at home	Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
SEQN	ACQ_F	Respondent sequence number	Respondent sequence number.		Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACQ005	ACQ_F			BOX 1. CHECK ITEM ACQ005: IF SP CODED HISPANIC IN SCREENER GO TO ACD040. OTHERWISE CONTINUE.	Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACD010A	ACQ_F	English usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010B	ACQ_F	Spanish usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	False
ACD010C	ACQ_F	Other language(s) usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 150 YEARS		TRUE	True
ACD040	ACQ_F	Language(s) usually spoken at home	Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?	HAND CARD ACQ1	Both males and females 12 YEARS - 150 YEARS		TRUE	True
SEQN	ACQ_G	Respondent sequence number	Respondent sequence number.		Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACQBOX1	ACQ_G			BOX 1. CHECK ITEM: IF THE PARTICIPANT SELF-IDENTIFIED AS MEXICAN AMERICAN OR OTHER HISPANIC (i.e. RIDRETH3=1 OR 2) GO TO ACD040; IF THE PARTICIPANT SELF-IDENTIFIED AS NON-HISPANIC ASIAN (i.e. RIDRETH3=6) GO TO ACD110; IF THE PARTICIPANT SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7) CONTINUE WITH ACD011A.	Both males and females 12 YEARS - 150 YEARS		FALSE	False
ACD011A	ACQ_G	Speak English at home - NHW or NHB	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY. THIS VARIABLE ONLY APPLY TO PARTICIPANTS SELF-IDENTIFIED AS NON-HISPANIC WHITE NON-HISPANIC BLACK OR OTHER RACE - INCLUDING MULTI-RACIAL (i.e. RIDRETH3=3 4 OR 7).	Both males and females 12 YEARS - 150 YEARS		TRUE	False
