Variable	Table	SASLabel	EnglishText	EnglishInstructions	Target	UseConstraints	IsPhenotype	OntologyMapped
WTDRD1	DR1IFF_E	Dietary day one sample weight	Dietary day one sample weight		Both males and females 0 YEARS - 150 YEARS		FALSE	False
WTDR2D	DR1IFF_E	Dietary two-day sample weight	Dietary two-day sample weight		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1ILINE	DR1IFF_E	Food/Individual component number	Food/Individual component number	One of the key variables for the file. The primary key variables are SEQN and DR1ILINE.	Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1DRSTZ	DR1IFF_E	Dietary recall status	Dietary recall status		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1EXMER	DR1IFF_E	Interviewer ID code	Interviewer ID code		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DRABF	DR1IFF_E	Breast-fed infant (either day)	Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. 		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DRDINT	DR1IFF_E	Number of days of intake	Indicates whether the sample person has intake data for one or two days.		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1DBIH	DR1IFF_E	# of days b/w intake and HH interview	Number of days between intake day and the day of family questionnaire administered in the household.		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1DAY	DR1IFF_E	Intake day of the week	Intake day of the week		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1LANG	DR1IFF_E	Language respondent used mostly	The respondent spoke mostly:		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1CCMNM	DR1IFF_E	Combination food number	Combination food number (sequential number)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1CCMTX	DR1IFF_E	Combination food type	Combination food type		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1_020	DR1IFF_E	Time of eating occasion (HH:MM)	What time did you begin to eat/drink the meal/food?	Format HHMM6.	Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1_030Z	DR1IFF_E	Name of eating occasion	Name of eating occasion		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1FS	DR1IFF_E	Source of food	Where did you get (this/most of the ingredients for this) {FOODNAME}?		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1_040Z	DR1IFF_E	Did you eat this meal at home?	Did you eat this meal at home?		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IFDCD	DR1IFF_E	USDA food code	USDA food code		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1MC	DR1IFF_E	Modification code	Modification code		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IGRMS	DR1IFF_E	Grams	Gram weight of the food/individual component		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IKCAL	DR1IFF_E	Energy (kcal)	Energy (kcal)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IPROT	DR1IFF_E	Protein (gm)	Protein (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICARB	DR1IFF_E	Carbohydrate (gm)	Carbohydrate (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ISUGR	DR1IFF_E	Total sugars (gm)	Total sugars (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IFIBE	DR1IFF_E	Dietary fiber (gm)	Dietary fiber (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ITFAT	DR1IFF_E	Total fat (gm)	Total fat (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1ISFAT	DR1IFF_E	Total saturated fatty acids (gm)	Total saturated fatty acids (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IMFAT	DR1IFF_E	Total monounsaturated fatty acids (gm)	Total monounsaturated fatty acids (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IPFAT	DR1IFF_E	Total polyunsaturated fatty acids (gm)	Total polyunsaturated fatty acids (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICHOL	DR1IFF_E	Cholesterol (mg)	Cholesterol (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IATOC	DR1IFF_E	Vitamin E as alpha-tocopherol (mg)	Vitamin E as alpha-tocopherol (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IATOA	DR1IFF_E	Added alpha-tocopherol (Vitamin E) (mg)	Added alpha-tocopherol (Vitamin E) (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IRET	DR1IFF_E	Retinol (mcg)	Retinol (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVARA	DR1IFF_E	Vitamin A RAE (mcg)	Vitamin A as retinol activity equivalents (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IACAR	DR1IFF_E	Alpha-carotene (mcg)	Alpha-carotene (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IBCAR	DR1IFF_E	Beta-carotene (mcg)	Beta-carotene (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICRYP	DR1IFF_E	Beta-cryptoxanthin (mcg)	Beta-cryptoxanthin (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ILYCO	DR1IFF_E	Lycopene (mcg)	Lycopene (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ILZ	DR1IFF_E	Lutein + zeaxanthin (mcg)	Lutein + zeaxanthin (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVB1	DR1IFF_E	Thiamin (Vitamin B1) (mg)	Thiamin (Vitamin B1) (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVB2	DR1IFF_E	Riboflavin (Vitamin B2) (mg)	Riboflavin (Vitamin B2) (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1INIAC	DR1IFF_E	Niacin (mg)	Niacin (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVB6	DR1IFF_E	Vitamin B6 (mg)	Vitamin B6 (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IFOLA	DR1IFF_E	Total folate (mcg)	Total folate (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IFA	DR1IFF_E	Folic acid (mcg)	Folic acid (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IFF	DR1IFF_E	Food folate (mcg)	Food folate (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IFDFE	DR1IFF_E	Folate DFE (mcg)	Folate as dietary folate equivalents (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1ICHL	DR1IFF_E	Total choline (mg)	Total choline (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVB12	DR1IFF_E	Vitamin B12 (mcg)	Vitamin B12 (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IB12A	DR1IFF_E	Added vitamin B12 (mcg)	Added vitamin B12 (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVC	DR1IFF_E	Vitamin C (mg)	Vitamin C (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVD	DR1IFF_E	Vitamin D (D2 + D3) (mcg)	Vitamin D (D2 + D3) (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVK	DR1IFF_E	Vitamin K (mcg)	Vitamin K (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICALC	DR1IFF_E	Calcium (mg)	Calcium (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IPHOS	DR1IFF_E	Phosphorus (mg)	Phosphorus (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IMAGN	DR1IFF_E	Magnesium (mg)	Magnesium (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IIRON	DR1IFF_E	Iron (mg)	Iron (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IZINC	DR1IFF_E	Zinc (mg)	Zinc (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICOPP	DR1IFF_E	Copper (mg)	Copper (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ISODI	DR1IFF_E	Sodium (mg)	Sodium (mg)(adjusted for salt use in food preparation)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IPOTA	DR1IFF_E	Potassium (mg)	Potassium (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ISELE	DR1IFF_E	Selenium (mcg)	Selenium (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICAFF	DR1IFF_E	Caffeine (mg)	Caffeine (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ITHEO	DR1IFF_E	Theobromine (mg)	Theobromine (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IALCO	DR1IFF_E	Alcohol (gm)	Alcohol (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IMOIS	DR1IFF_E	Moisture (gm)	Moisture (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IS040	DR1IFF_E	SFA 4:0 (Butanoic) (gm)	SFA 4:0 (Butanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS060	DR1IFF_E	SFA 6:0 (Hexanoic) (gm)	SFA 6:0 (Hexanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS080	DR1IFF_E	SFA 8:0 (Octanoic) (gm)	SFA 8:0 (Octanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS100	DR1IFF_E	SFA 10:0 (Decanoic) (gm)	SFA 10:0 (Decanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS120	DR1IFF_E	SFA 12:0 (Dodecanoic) (gm)	SFA 12:0 (Dodecanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS140	DR1IFF_E	SFA 14:0 (Tetradecanoic) (gm)	SFA 14:0 (Tetradecanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS160	DR1IFF_E	SFA 16:0 (Hexadecanoic) (gm)	SFA 16:0 (Hexadecanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS180	DR1IFF_E	SFA 18:0 (Octadecanoic) (gm)	SFA 18:0 (Octadecanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IM161	DR1IFF_E	MFA 16:1 (Hexadecenoic) (gm)	MFA 16:1 (Hexadecenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IM181	DR1IFF_E	MFA 18:1 (Octadecenoic) (gm)	MFA 18:1 (Octadecenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IM201	DR1IFF_E	MFA 20:1 (Eicosenoic) (gm)	MFA 20:1 (Eicosenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IM221	DR1IFF_E	MFA 22:1 (Docosenoic) (gm)	MFA 22:1 (Docosenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IP182	DR1IFF_E	PFA 18:2 (Octadecadienoic) (gm)	PFA 18:2 (Octadecadienoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP183	DR1IFF_E	PFA 18:3 (Octadecatrienoic) (gm)	PFA 18:3 (Octadecatrienoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP184	DR1IFF_E	PFA 18:4 (Octadecatetraenoic) (gm)	PFA 18:4 (Octadecatetraenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP204	DR1IFF_E	PFA 20:4 (Eicosatetraenoic) (gm)	PFA 20:4 (Eicosatetraenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP205	DR1IFF_E	PFA 20:5 (Eicosapentaenoic) (gm)	PFA 20:5 (Eicosapentaenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP225	DR1IFF_E	PFA 22:5 (Docosapentaenoic) (gm)	PFA 22:5 (Docosapentaenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP226	DR1IFF_E	PFA 22:6 (Docosahexaenoic) (gm)	PFA 22:6 (Docosahexaenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
SEQN	DR1IFF_F	Respondent sequence number	Respondent sequence number.	One of the key variables for the file. The primary key variables are SEQN and DR1ILINE.	Both males and females 0 YEARS - 150 YEARS		FALSE	False
WTDRD1	DR1IFF_F	Dietary day one sample weight	Dietary day one sample weight		Both males and females 0 YEARS - 150 YEARS		FALSE	False
WTDR2D	DR1IFF_F	Dietary two-day sample weight	Dietary two-day sample weight		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1ILINE	DR1IFF_F	Food/Individual component number	Food/Individual component number	One of the key variables for the file. The primary key variables are SEQN and DR1ILINE.	Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1DRSTZ	DR1IFF_F	Dietary recall status	Dietary recall status		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1EXMER	DR1IFF_F	Interviewer ID code	Interviewer ID code		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DRABF	DR1IFF_F	Breast-fed infant (either day)	Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. 		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DRDINT	DR1IFF_F	Number of days of intake	Indicates whether the sample person has intake data for one or two days.		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1DBIH	DR1IFF_F	# of days b/w intake and HH interview	Number of days between intake day and the day of family questionnaire administered in the household.		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1DAY	DR1IFF_F	Intake day of the week	Intake day of the week		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1LANG	DR1IFF_F	Language respondent used mostly	The respondent spoke mostly:		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1CCMNM	DR1IFF_F	Combination food number	Combination food number (sequential number)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1CCMTX	DR1IFF_F	Combination food type	Combination food type		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1_020	DR1IFF_F	Time of eating occasion (HH:MM)	What time did you begin to eat/drink the meal/food?	Format HHMM6.	Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1_030Z	DR1IFF_F	Name of eating occasion	Name of eating occasion		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1FS	DR1IFF_F	Source of food	Where did you get (this/most of the ingredients for this) {FOODNAME}?		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1_040Z	DR1IFF_F	Did you eat this meal at home?	Did you eat this meal at home?		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IFDCD	DR1IFF_F	USDA food code	USDA food code		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1MC	DR1IFF_F	Modification code	Modification code		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IGRMS	DR1IFF_F	Grams	Gram weight of the food/individual component		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IKCAL	DR1IFF_F	Energy (kcal)	Energy (kcal)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IPROT	DR1IFF_F	Protein (gm)	Protein (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICARB	DR1IFF_F	Carbohydrate (gm)	Carbohydrate (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ISUGR	DR1IFF_F	Total sugars (gm)	Total sugars (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IFIBE	DR1IFF_F	Dietary fiber (gm)	Dietary fiber (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ITFAT	DR1IFF_F	Total fat (gm)	Total fat (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1ISFAT	DR1IFF_F	Total saturated fatty acids (gm)	Total saturated fatty acids (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IMFAT	DR1IFF_F	Total monounsaturated fatty acids (gm)	Total monounsaturated fatty acids (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IPFAT	DR1IFF_F	Total polyunsaturated fatty acids (gm)	Total polyunsaturated fatty acids (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICHOL	DR1IFF_F	Cholesterol (mg)	Cholesterol (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IATOC	DR1IFF_F	Vitamin E as alpha-tocopherol (mg)	Vitamin E as alpha-tocopherol (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IATOA	DR1IFF_F	Added alpha-tocopherol (Vitamin E) (mg)	Added alpha-tocopherol (Vitamin E) (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IRET	DR1IFF_F	Retinol (mcg)	Retinol (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVARA	DR1IFF_F	Vitamin A RAE (mcg)	Vitamin A as retinol activity equivalents (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IACAR	DR1IFF_F	Alpha-carotene (mcg)	Alpha-carotene (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IBCAR	DR1IFF_F	Beta-carotene (mcg)	Beta-carotene (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICRYP	DR1IFF_F	Beta-cryptoxanthin (mcg)	Beta-cryptoxanthin (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ILYCO	DR1IFF_F	Lycopene (mcg)	Lycopene (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ILZ	DR1IFF_F	Lutein + zeaxanthin (mcg)	Lutein + zeaxanthin (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVB1	DR1IFF_F	Thiamin (Vitamin B1) (mg)	Thiamin (Vitamin B1) (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVB2	DR1IFF_F	Riboflavin (Vitamin B2) (mg)	Riboflavin (Vitamin B2) (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1INIAC	DR1IFF_F	Niacin (mg)	Niacin (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVB6	DR1IFF_F	Vitamin B6 (mg)	Vitamin B6 (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IFOLA	DR1IFF_F	Total folate (mcg)	Total folate (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IFA	DR1IFF_F	Folic acid (mcg)	Folic acid (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IFF	DR1IFF_F	Food folate (mcg)	Food folate (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IFDFE	DR1IFF_F	Folate DFE (mcg)	Folate as dietary folate equivalents (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1ICHL	DR1IFF_F	Total choline (mg)	Total choline (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVB12	DR1IFF_F	Vitamin B12 (mcg)	Vitamin B12 (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IB12A	DR1IFF_F	Added vitamin B12 (mcg)	Added vitamin B12 (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVC	DR1IFF_F	Vitamin C (mg)	Vitamin C (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVD	DR1IFF_F	Vitamin D (D2 + D3) (mcg)	Vitamin D (D2 + D3) (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IVK	DR1IFF_F	Vitamin K (mcg)	Vitamin K (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICALC	DR1IFF_F	Calcium (mg)	Calcium (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IPHOS	DR1IFF_F	Phosphorus (mg)	Phosphorus (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IMAGN	DR1IFF_F	Magnesium (mg)	Magnesium (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IIRON	DR1IFF_F	Iron (mg)	Iron (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IZINC	DR1IFF_F	Zinc (mg)	Zinc (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICOPP	DR1IFF_F	Copper (mg)	Copper (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ISODI	DR1IFF_F	Sodium (mg)	Sodium (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IPOTA	DR1IFF_F	Potassium (mg)	Potassium (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ISELE	DR1IFF_F	Selenium (mcg)	Selenium (mcg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ICAFF	DR1IFF_F	Caffeine (mg)	Caffeine (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1ITHEO	DR1IFF_F	Theobromine (mg)	Theobromine (mg)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IALCO	DR1IFF_F	Alcohol (gm)	Alcohol (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IMOIS	DR1IFF_F	Moisture (gm)	Moisture (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IS040	DR1IFF_F	SFA 4:0 (Butanoic) (gm)	SFA 4:0 (Butanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS060	DR1IFF_F	SFA 6:0 (Hexanoic) (gm)	SFA 6:0 (Hexanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS080	DR1IFF_F	SFA 8:0 (Octanoic) (gm)	SFA 8:0 (Octanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS100	DR1IFF_F	SFA 10:0 (Decanoic) (gm)	SFA 10:0 (Decanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS120	DR1IFF_F	SFA 12:0 (Dodecanoic) (gm)	SFA 12:0 (Dodecanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS140	DR1IFF_F	SFA 14:0 (Tetradecanoic) (gm)	SFA 14:0 (Tetradecanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS160	DR1IFF_F	SFA 16:0 (Hexadecanoic) (gm)	SFA 16:0 (Hexadecanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IS180	DR1IFF_F	SFA 18:0 (Octadecanoic) (gm)	SFA 18:0 (Octadecanoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IM161	DR1IFF_F	MFA 16:1 (Hexadecenoic) (gm)	MFA 16:1 (Hexadecenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IM181	DR1IFF_F	MFA 18:1 (Octadecenoic) (gm)	MFA 18:1 (Octadecenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IM201	DR1IFF_F	MFA 20:1 (Eicosenoic) (gm)	MFA 20:1 (Eicosenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IM221	DR1IFF_F	MFA 22:1 (Docosenoic) (gm)	MFA 22:1 (Docosenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IP182	DR1IFF_F	PFA 18:2 (Octadecadienoic) (gm)	PFA 18:2 (Octadecadienoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP183	DR1IFF_F	PFA 18:3 (Octadecatrienoic) (gm)	PFA 18:3 (Octadecatrienoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP184	DR1IFF_F	PFA 18:4 (Octadecatetraenoic) (gm)	PFA 18:4 (Octadecatetraenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP204	DR1IFF_F	PFA 20:4 (Eicosatetraenoic) (gm)	PFA 20:4 (Eicosatetraenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP205	DR1IFF_F	PFA 20:5 (Eicosapentaenoic) (gm)	PFA 20:5 (Eicosapentaenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP225	DR1IFF_F	PFA 22:5 (Docosapentaenoic) (gm)	PFA 22:5 (Docosapentaenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1IP226	DR1IFF_F	PFA 22:6 (Docosahexaenoic) (gm)	PFA 22:6 (Docosahexaenoic) (gm)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
SEQN	DR1IFF_G	Respondent sequence number	Respondent sequence number.	One of the key variables for the file. The primary key variables are SEQN and DR1ILINE.	Both males and females 0 YEARS - 150 YEARS		FALSE	False
WTDRD1	DR1IFF_G	Dietary day one sample weight	Dietary day one sample weight		Both males and females 0 YEARS - 150 YEARS		FALSE	False
WTDR2D	DR1IFF_G	Dietary two-day sample weight	Dietary two-day sample weight		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1ILINE	DR1IFF_G	Food/Individual component number	Food/Individual component number	One of the key variables for the file. The primary key variables are SEQN and DR1ILINE.	Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1DRSTZ	DR1IFF_G	Dietary recall status	Dietary recall status		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1EXMER	DR1IFF_G	Interviewer ID code	Interviewer ID code		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DRABF	DR1IFF_G	Breast-fed infant (either day)	Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. 		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DRDINT	DR1IFF_G	Number of days of intake	Indicates whether the sample person has intake data for one or two days.		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1DBIH	DR1IFF_G	# of days b/w intake and HH interview	Number of days between intake day and the day of family questionnaire administered in the household.		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1DAY	DR1IFF_G	Intake day of the week	Intake day of the week		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1LANG	DR1IFF_G	Language respondent used mostly	The respondent spoke mostly:		Both males and females 0 YEARS - 150 YEARS		FALSE	False
DR1CCMNM	DR1IFF_G	Combination food number	Combination food number (sequential number)		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1CCMTX	DR1IFF_G	Combination food type	Combination food type		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1_020	DR1IFF_G	Time of eating occasion (HH:MM)	What time did you begin to eat/drink the meal/food?	Format HHMM6.	Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1_030Z	DR1IFF_G	Name of eating occasion	Name of eating occasion		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1FS	DR1IFF_G	Source of food	Where did you get (this/most of the ingredients for this) {FOODNAME}?		Both males and females 0 YEARS - 150 YEARS		TRUE	True
DR1_040Z	DR1IFF_G	Did you eat this meal at home?	Did you eat this meal at home?		Both males and females 0 YEARS - 150 YEARS		TRUE	False
DR1IFDCD	DR1IFF_G	USDA food code	USDA food code		Both males and females 0 YEARS - 150 YEARS		TRUE	True
