dataset,condition,seed,model,test_auc_roc,test_auc_pr,test_brier,train_auc_roc,train_test_gap,threshold,n_total,L1,L2,L3,L4,L5
pima,ablation_L3,512,random_forest,0.8663,0.8549,0.1469,1.0,0.1337,0.32,768,True,True,False,True,True
pima,ablation_L3,1024,random_forest,0.8823,0.8808,0.1407,1.0,0.1177,0.54,768,True,True,False,True,True
pima,ablation_L3,2048,random_forest,0.9083,0.9065,0.1259,1.0,0.0917,0.515,768,True,True,False,True,True
pima,ablation_L3,4096,random_forest,0.8891,0.8829,0.1334,1.0,0.1109,0.61,768,True,True,False,True,True
pima,ablation_L3,8192,random_forest,0.8914,0.8995,0.1356,1.0,0.1086,0.6,768,True,True,False,True,True
pima,ablation_L3,16384,random_forest,0.8949,0.8531,0.1336,1.0,0.1051,0.55,768,True,True,False,True,True
pima,ablation_L3,32768,random_forest,0.8772,0.8855,0.1404,1.0,0.1228,0.475,768,True,True,False,True,True
pima,ablation_L4,42,random_forest,0.8871,0.8436,0.1348,1.0,0.1129,0.515,768,True,True,True,False,True
pima,ablation_L4,123,random_forest,0.8949,0.8871,0.1347,1.0,0.1051,0.53,768,True,True,True,False,True
pima,ablation_L4,256,random_forest,0.9146,0.88,0.1207,1.0,0.0854,0.495,768,True,True,True,False,True
pima,ablation_L4,512,random_forest,0.86,0.8343,0.152,1.0,0.14,0.445,768,True,True,True,False,True
pima,ablation_L4,1024,random_forest,0.9044,0.8912,0.1253,1.0,0.0956,0.355,768,True,True,True,False,True
pima,ablation_L4,2048,random_forest,0.8556,0.8029,0.1532,1.0,0.1444,0.515,768,True,True,True,False,True
pima,ablation_L4,4096,random_forest,0.8829,0.8939,0.1381,1.0,0.1171,0.475,768,True,True,True,False,True
pima,ablation_L4,8192,random_forest,0.8566,0.8698,0.1493,1.0,0.1434,0.455,768,True,True,True,False,True
pima,ablation_L4,16384,random_forest,0.8704,0.8476,0.1445,1.0,0.1296,0.47,768,True,True,True,False,True
pima,ablation_L4,32768,random_forest,0.8994,0.883,0.1347,1.0,0.1006,0.55,768,True,True,True,False,True
pima,ablation_L5,42,random_forest,0.9178,0.9071,0.1198,1.0,0.0822,0.585,768,True,True,True,True,False
pima,ablation_L5,123,random_forest,0.8894,0.8627,0.1373,1.0,0.1106,0.59,768,True,True,True,True,False
pima,ablation_L5,256,random_forest,0.8603,0.8545,0.1521,1.0,0.1397,0.475,768,True,True,True,True,False
pima,ablation_L5,512,random_forest,0.8663,0.8549,0.1469,1.0,0.1337,0.415,768,True,True,True,True,False
pima,ablation_L5,1024,random_forest,0.8823,0.8808,0.1407,1.0,0.1177,0.56,768,True,True,True,True,False
pima,ablation_L5,2048,random_forest,0.9083,0.9065,0.1259,1.0,0.0917,0.535,768,True,True,True,True,False
pima,ablation_L5,4096,random_forest,0.8891,0.8829,0.1334,1.0,0.1109,0.39,768,True,True,True,True,False
pima,ablation_L5,8192,random_forest,0.8914,0.8995,0.1356,1.0,0.1086,0.49,768,True,True,True,True,False
pima,ablation_L5,16384,random_forest,0.8949,0.8531,0.1336,1.0,0.1051,0.565,768,True,True,True,True,False
pima,ablation_L5,32768,random_forest,0.8772,0.8855,0.1404,1.0,0.1228,0.465,768,True,True,True,True,False
pima,all_leaky,42,random_forest,0.9178,0.9071,0.1198,1.0,0.0822,0.48,768,True,True,True,True,True
pima,all_leaky,123,random_forest,0.8894,0.8627,0.1373,1.0,0.1106,0.395,768,True,True,True,True,True
pima,all_leaky,256,random_forest,0.8603,0.8545,0.1521,1.0,0.1397,0.66,768,True,True,True,True,True
pima,all_leaky,512,random_forest,0.8663,0.8549,0.1469,1.0,0.1337,0.32,768,True,True,True,True,True
pima,all_leaky,1024,random_forest,0.8823,0.8808,0.1407,1.0,0.1177,0.54,768,True,True,True,True,True
pima,all_leaky,2048,random_forest,0.9083,0.9065,0.1259,1.0,0.0917,0.515,768,True,True,True,True,True
pima,all_leaky,4096,random_forest,0.8891,0.8829,0.1334,1.0,0.1109,0.61,768,True,True,True,True,True
pima,all_leaky,8192,random_forest,0.8914,0.8995,0.1356,1.0,0.1086,0.6,768,True,True,True,True,True
pima,all_leaky,16384,random_forest,0.8949,0.8531,0.1336,1.0,0.1051,0.55,768,True,True,True,True,True
pima,all_leaky,32768,random_forest,0.8772,0.8855,0.1404,1.0,0.1228,0.475,768,True,True,True,True,True
pima,clean,42,random_forest,0.8798,0.7919,0.1332,1.0,0.1202,0.375,768,False,False,False,False,False
pima,clean,123,random_forest,0.7936,0.6411,0.1779,1.0,0.2064,0.25,768,False,False,False,False,False
pima,clean,256,random_forest,0.8505,0.8019,0.1545,1.0,0.1495,0.385,768,False,False,False,False,False
pima,clean,512,random_forest,0.8471,0.6872,0.1539,1.0,0.1529,0.34,768,False,False,False,False,False
pima,clean,1024,random_forest,0.799,0.6496,0.175,1.0,0.201,0.175,768,False,False,False,False,False
pima,clean,2048,random_forest,0.8169,0.6934,0.1683,1.0,0.1831,0.505,768,False,False,False,False,False
pima,clean,4096,random_forest,0.8221,0.7166,0.1656,1.0,0.1779,0.32,768,False,False,False,False,False
pima,clean,8192,random_forest,0.7864,0.7258,0.1839,1.0,0.2136,0.26,768,False,False,False,False,False
pima,clean,16384,random_forest,0.7735,0.5559,0.1918,1.0,0.2265,0.455,768,False,False,False,False,False
pima,clean,32768,random_forest,0.8246,0.6596,0.1659,1.0,0.1754,0.305,768,False,False,False,False,False
framingham,ablation_L1,42,hist_gb,0.9574,0.9665,0.076,1.0,0.0426,0.4922,4240,False,True,True,True,True
framingham,ablation_L1,123,hist_gb,0.9427,0.9552,0.0865,1.0,0.0573,0.6107,4240,False,True,True,True,True
framingham,ablation_L1,256,hist_gb,0.9384,0.9502,0.0919,0.9999,0.0615,0.558,4240,False,True,True,True,True
framingham,ablation_L1,512,hist_gb,0.9465,0.9594,0.0865,1.0,0.0535,0.5881,4240,False,True,True,True,True
framingham,ablation_L1,1024,hist_gb,0.9564,0.9655,0.0777,1.0,0.0436,0.6356,4240,False,True,True,True,True
framingham,ablation_L1,2048,hist_gb,0.9436,0.9537,0.0886,1.0,0.0564,0.5223,4240,False,True,True,True,True
framingham,ablation_L1,4096,hist_gb,0.9446,0.9561,0.0896,1.0,0.0554,0.5093,4240,False,True,True,True,True
framingham,ablation_L1,8192,hist_gb,0.9541,0.9651,0.0776,1.0,0.0459,0.5664,4240,False,True,True,True,True
framingham,ablation_L1,16384,hist_gb,0.9416,0.956,0.0907,1.0,0.0584,0.5725,4240,False,True,True,True,True
framingham,ablation_L1,32768,hist_gb,0.9563,0.9659,0.0785,1.0,0.0437,0.5576,4240,False,True,True,True,True
framingham,ablation_L2,42,random_forest,0.6452,0.2587,0.1493,1.0,0.3548,0.255,4240,True,False,True,True,True
framingham,ablation_L2,123,random_forest,0.6731,0.2713,0.1484,1.0,0.3269,0.26,4240,True,False,True,True,True
framingham,ablation_L2,256,random_forest,0.657,0.2468,0.1472,1.0,0.343,0.23,4240,True,False,True,True,True
framingham,ablation_L2,512,random_forest,0.6545,0.2746,0.1518,1.0,0.3455,0.26,4240,True,False,True,True,True
framingham,ablation_L2,1024,random_forest,0.6503,0.23,0.1544,1.0,0.3497,0.33,4240,True,False,True,True,True
framingham,ablation_L2,2048,random_forest,0.6474,0.2654,0.1508,1.0,0.3526,0.255,4240,True,False,True,True,True
framingham,ablation_L2,4096,random_forest,0.6712,0.275,0.1438,1.0,0.3288,0.185,4240,True,False,True,True,True
framingham,ablation_L2,8192,random_forest,0.6686,0.26,0.1494,1.0,0.3314,0.31,4240,True,False,True,True,True
framingham,ablation_L2,16384,random_forest,0.6378,0.2679,0.1495,1.0,0.3622,0.38,4240,True,False,True,True,True
framingham,ablation_L2,32768,random_forest,0.6397,0.2539,0.155,1.0,0.3603,0.235,4240,True,False,True,True,True
framingham,ablation_L3,42,hist_gb,0.9539,0.9645,0.0781,1.0,0.0461,0.6528,4240,True,True,False,True,True
framingham,ablation_L3,123,hist_gb,0.9432,0.9551,0.0868,1.0,0.0568,0.5985,4240,True,True,False,True,True
framingham,ablation_L3,256,hist_gb,0.9374,0.9475,0.0923,1.0,0.0626,0.5529,4240,True,True,False,True,True
framingham,ablation_L3,512,hist_gb,0.9509,0.9623,0.0838,1.0,0.0491,0.635,4240,True,True,False,True,True
framingham,ablation_L3,1024,hist_gb,0.9539,0.9628,0.0806,1.0,0.0461,0.6491,4240,True,True,False,True,True
framingham,ablation_L3,2048,hist_gb,0.9421,0.9526,0.0898,0.9999,0.0578,0.5801,4240,True,True,False,True,True
framingham,ablation_L3,4096,hist_gb,0.945,0.9575,0.0889,1.0,0.055,0.5547,4240,True,True,False,True,True
framingham,ablation_L3,8192,hist_gb,0.9597,0.9689,0.0737,1.0,0.0403,0.5631,4240,True,True,False,True,True
framingham,ablation_L3,16384,hist_gb,0.9416,0.9546,0.0919,1.0,0.0584,0.6203,4240,True,True,False,True,True
framingham,ablation_L3,32768,hist_gb,0.9565,0.9658,0.0796,1.0,0.0435,0.6893,4240,True,True,False,True,True
framingham,ablation_L4,42,hist_gb,0.9568,0.9637,0.0762,1.0,0.0432,0.5717,4240,True,True,True,False,True
framingham,ablation_L4,123,hist_gb,0.9446,0.956,0.086,1.0,0.0554,0.5426,4240,True,True,True,False,True
framingham,ablation_L4,256,hist_gb,0.9465,0.9572,0.0854,1.0,0.0535,0.5761,4240,True,True,True,False,True
framingham,ablation_L4,512,hist_gb,0.9484,0.9597,0.0855,1.0,0.0516,0.4441,4240,True,True,True,False,True
framingham,ablation_L4,1024,hist_gb,0.9476,0.958,0.0862,1.0,0.0524,0.5362,4240,True,True,True,False,True
framingham,ablation_L4,2048,hist_gb,0.9463,0.9561,0.0834,1.0,0.0537,0.5657,4240,True,True,True,False,True
framingham,ablation_L4,4096,hist_gb,0.9515,0.9593,0.0818,1.0,0.0485,0.5077,4240,True,True,True,False,True
framingham,ablation_L4,8192,hist_gb,0.9411,0.9566,0.0902,1.0,0.0589,0.6552,4240,True,True,True,False,True
framingham,ablation_L4,16384,hist_gb,0.9539,0.9636,0.0807,1.0,0.0461,0.6394,4240,True,True,True,False,True
framingham,ablation_L4,32768,hist_gb,0.9491,0.9603,0.0844,1.0,0.0509,0.5211,4240,True,True,True,False,True
framingham,ablation_L5,42,hist_gb,0.953,0.9641,0.0775,1.0,0.047,0.5096,4240,True,True,True,True,False
framingham,ablation_L5,123,hist_gb,0.9432,0.9551,0.0868,1.0,0.0568,0.4745,4240,True,True,True,True,False
framingham,ablation_L5,256,hist_gb,0.9374,0.9475,0.0923,1.0,0.0626,0.6914,4240,True,True,True,True,False
framingham,ablation_L5,512,hist_gb,0.9509,0.9623,0.0838,1.0,0.0491,0.5884,4240,True,True,True,True,False
framingham,ablation_L5,1024,hist_gb,0.9543,0.9643,0.0789,1.0,0.0457,0.5943,4240,True,True,True,True,False
framingham,ablation_L5,2048,hist_gb,0.9421,0.9526,0.0898,0.9999,0.0578,0.6128,4240,True,True,True,True,False
framingham,ablation_L5,4096,hist_gb,0.945,0.9575,0.0889,1.0,0.055,0.6344,4240,True,True,True,True,False
framingham,ablation_L5,8192,hist_gb,0.9597,0.9689,0.0737,1.0,0.0403,0.4961,4240,True,True,True,True,False
framingham,ablation_L5,16384,hist_gb,0.9416,0.9546,0.0919,1.0,0.0584,0.5675,4240,True,True,True,True,False
framingham,ablation_L5,32768,hist_gb,0.9579,0.9671,0.0771,1.0,0.0421,0.6319,4240,True,True,True,True,False
framingham,all_leaky,42,hist_gb,0.9539,0.9645,0.0781,1.0,0.0461,0.6528,4240,True,True,True,True,True
framingham,all_leaky,123,hist_gb,0.9432,0.9551,0.0868,1.0,0.0568,0.5985,4240,True,True,True,True,True
framingham,all_leaky,256,hist_gb,0.9374,0.9475,0.0923,1.0,0.0626,0.5529,4240,True,True,True,True,True
framingham,all_leaky,512,hist_gb,0.9509,0.9623,0.0838,1.0,0.0491,0.635,4240,True,True,True,True,True
framingham,all_leaky,1024,hist_gb,0.9543,0.9643,0.0789,1.0,0.0457,0.6428,4240,True,True,True,True,True
framingham,all_leaky,2048,hist_gb,0.9421,0.9526,0.0898,0.9999,0.0578,0.5801,4240,True,True,True,True,True
framingham,all_leaky,4096,hist_gb,0.945,0.9575,0.0889,1.0,0.055,0.5547,4240,True,True,True,True,True
framingham,all_leaky,8192,hist_gb,0.9597,0.9689,0.0737,1.0,0.0403,0.5631,4240,True,True,True,True,True
framingham,all_leaky,16384,hist_gb,0.9416,0.9546,0.0919,1.0,0.0584,0.6203,4240,True,True,True,True,True
framingham,all_leaky,32768,hist_gb,0.9565,0.9658,0.0796,1.0,0.0435,0.6893,4240,True,True,True,True,True
framingham,clean,42,random_forest,0.6198,0.2328,0.1555,1.0,0.3802,0.33,4240,False,False,False,False,False
framingham,clean,123,random_forest,0.6976,0.2891,0.1407,1.0,0.3024,0.265,4240,False,False,False,False,False
framingham,clean,256,random_forest,0.6925,0.3032,0.1443,1.0,0.3075,0.27,4240,False,False,False,False,False
framingham,clean,512,random_forest,0.6683,0.2866,0.1534,1.0,0.3317,0.38,4240,False,False,False,False,False
framingham,clean,1024,random_forest,0.6932,0.2635,0.14,1.0,0.3068,0.195,4240,False,False,False,False,False
framingham,clean,2048,random_forest,0.7001,0.2651,0.1375,1.0,0.2999,0.35,4240,False,False,False,False,False
framingham,clean,4096,random_forest,0.6674,0.2813,0.1419,1.0,0.3326,0.36,4240,False,False,False,False,False
framingham,clean,8192,random_forest,0.6721,0.2577,0.1414,1.0,0.3279,0.215,4240,False,False,False,False,False
framingham,clean,16384,random_forest,0.6445,0.2071,0.147,1.0,0.3555,0.325,4240,False,False,False,False,False
framingham,clean,32768,random_forest,0.6614,0.2717,0.1525,1.0,0.3386,0.25,4240,False,False,False,False,False
diabetes130,ablation_L1,42,random_forest,0.9692,0.978,0.0634,1.0,0.0308,0.47,10000,False,True,True,True,True
diabetes130,ablation_L1,123,random_forest,0.9647,0.9745,0.067,1.0,0.0353,0.505,10000,False,True,True,True,True
diabetes130,ablation_L1,256,random_forest,0.9686,0.9768,0.0654,1.0,0.0314,0.505,10000,False,True,True,True,True
diabetes130,ablation_L1,512,random_forest,0.9692,0.977,0.0631,1.0,0.0308,0.52,10000,False,True,True,True,True
diabetes130,ablation_L1,1024,random_forest,0.9725,0.9799,0.0622,1.0,0.0275,0.495,10000,False,True,True,True,True
diabetes130,ablation_L1,2048,random_forest,0.9693,0.9772,0.0616,1.0,0.0307,0.51,10000,False,True,True,True,True
diabetes130,ablation_L1,4096,random_forest,0.9711,0.9784,0.0615,1.0,0.0289,0.53,10000,False,True,True,True,True
diabetes130,ablation_L1,8192,random_forest,0.9716,0.9787,0.0613,1.0,0.0284,0.505,10000,False,True,True,True,True
diabetes130,ablation_L1,16384,random_forest,0.9689,0.9771,0.065,1.0,0.0311,0.515,10000,False,True,True,True,True
diabetes130,ablation_L1,32768,random_forest,0.9726,0.9793,0.0602,1.0,0.0274,0.45,10000,False,True,True,True,True
diabetes130,ablation_L2,42,random_forest,0.579,0.1613,0.1073,1.0,0.421,0.1975,10000,True,False,True,True,True
diabetes130,ablation_L2,123,random_forest,0.5879,0.147,0.1069,1.0,0.4121,0.135,10000,True,False,True,True,True
diabetes130,ablation_L2,256,random_forest,0.5786,0.1608,0.1063,1.0,0.4214,0.1817,10000,True,False,True,True,True
diabetes130,ablation_L2,512,random_forest,0.5945,0.1587,0.1068,1.0,0.4055,0.19,10000,True,False,True,True,True
diabetes130,ablation_L2,1024,random_forest,0.5953,0.1629,0.1046,1.0,0.4047,0.13,10000,True,False,True,True,True
diabetes130,ablation_L2,2048,random_forest,0.6299,0.1669,0.103,1.0,0.3701,0.13,10000,True,False,True,True,True
diabetes130,ablation_L2,4096,random_forest,0.6,0.1651,0.1044,1.0,0.4,0.145,10000,True,False,True,True,True
diabetes130,ablation_L2,8192,random_forest,0.6229,0.1635,0.1032,1.0,0.3771,0.16,10000,True,False,True,True,True
diabetes130,ablation_L2,16384,random_forest,0.6243,0.168,0.1051,1.0,0.3757,0.135,10000,True,False,True,True,True
diabetes130,ablation_L2,32768,random_forest,0.5947,0.1524,0.1064,1.0,0.4053,0.215,10000,True,False,True,True,True
diabetes130,ablation_L3,42,random_forest,0.9689,0.978,0.0631,1.0,0.0311,0.465,10000,True,True,False,True,True
diabetes130,ablation_L3,123,random_forest,0.9632,0.9733,0.0676,1.0,0.0368,0.53,10000,True,True,False,True,True
diabetes130,ablation_L3,256,random_forest,0.9654,0.9748,0.0661,1.0,0.0346,0.505,10000,True,True,False,True,True
diabetes130,ablation_L3,512,random_forest,0.9649,0.9742,0.0648,1.0,0.0351,0.46,10000,True,True,False,True,True
diabetes130,ablation_L3,1024,random_forest,0.9723,0.9798,0.0626,1.0,0.0277,0.515,10000,True,True,False,True,True
diabetes130,ablation_L3,2048,random_forest,0.9691,0.9768,0.0623,1.0,0.0309,0.475,10000,True,True,False,True,True
diabetes130,ablation_L3,4096,random_forest,0.9688,0.9764,0.0621,1.0,0.0312,0.4967,10000,True,True,False,True,True
diabetes130,ablation_L3,8192,random_forest,0.9711,0.9784,0.0614,1.0,0.0289,0.455,10000,True,True,False,True,True
diabetes130,ablation_L3,16384,random_forest,0.9688,0.9772,0.0645,1.0,0.0312,0.505,10000,True,True,False,True,True
diabetes130,ablation_L3,32768,random_forest,0.9735,0.9795,0.0612,1.0,0.0265,0.49,10000,True,True,False,True,True
diabetes130,ablation_L4,42,random_forest,0.9672,0.9771,0.0646,1.0,0.0328,0.415,10000,True,True,True,False,True
diabetes130,ablation_L4,123,random_forest,0.9616,0.9726,0.0664,1.0,0.0384,0.515,10000,True,True,True,False,True
diabetes130,ablation_L4,256,random_forest,0.9689,0.9774,0.0625,1.0,0.0311,0.495,10000,True,True,True,False,True
diabetes130,ablation_L4,512,random_forest,0.9706,0.977,0.063,1.0,0.0294,0.445,10000,True,True,True,False,True
diabetes130,ablation_L4,1024,random_forest,0.9731,0.9806,0.0593,1.0,0.0269,0.47,10000,True,True,True,False,True
diabetes130,ablation_L4,2048,random_forest,0.9656,0.9739,0.0654,1.0,0.0344,0.53,10000,True,True,True,False,True
diabetes130,ablation_L4,4096,random_forest,0.9651,0.9736,0.0668,1.0,0.0349,0.49,10000,True,True,True,False,True
diabetes130,ablation_L4,8192,random_forest,0.9728,0.9796,0.0603,1.0,0.0272,0.48,10000,True,True,True,False,True
diabetes130,ablation_L4,16384,random_forest,0.9657,0.9758,0.0653,1.0,0.0343,0.5,10000,True,True,True,False,True
diabetes130,ablation_L4,32768,random_forest,0.9638,0.9735,0.0681,1.0,0.0362,0.49,10000,True,True,True,False,True
diabetes130,ablation_L5,42,random_forest,0.9706,0.9787,0.0634,1.0,0.0294,0.525,10000,True,True,True,True,False
diabetes130,ablation_L5,123,random_forest,0.9634,0.9737,0.0677,1.0,0.0366,0.505,10000,True,True,True,True,False
diabetes130,ablation_L5,256,random_forest,0.9676,0.9762,0.0653,1.0,0.0324,0.475,10000,True,True,True,True,False
diabetes130,ablation_L5,512,random_forest,0.9692,0.977,0.0627,1.0,0.0308,0.485,10000,True,True,True,True,False
diabetes130,ablation_L5,1024,random_forest,0.9723,0.9798,0.0626,1.0,0.0277,0.53,10000,True,True,True,True,False
diabetes130,ablation_L5,2048,random_forest,0.9691,0.9768,0.0623,1.0,0.0309,0.515,10000,True,True,True,True,False
diabetes130,ablation_L5,4096,random_forest,0.9707,0.9778,0.0619,1.0,0.0293,0.515,10000,True,True,True,True,False
diabetes130,ablation_L5,8192,random_forest,0.9711,0.9784,0.0614,1.0,0.0289,0.515,10000,True,True,True,True,False
diabetes130,ablation_L5,16384,random_forest,0.9692,0.9776,0.0644,1.0,0.0308,0.475,10000,True,True,True,True,False
diabetes130,ablation_L5,32768,random_forest,0.9735,0.9795,0.0612,1.0,0.0265,0.48,10000,True,True,True,True,False
diabetes130,all_leaky,42,random_forest,0.9664,0.9764,0.065,1.0,0.0336,0.47,10000,True,True,True,True,True
diabetes130,all_leaky,123,random_forest,0.9632,0.9733,0.0676,1.0,0.0368,0.53,10000,True,True,True,True,True
diabetes130,all_leaky,256,random_forest,0.9676,0.9762,0.0653,1.0,0.0324,0.485,10000,True,True,True,True,True
diabetes130,all_leaky,512,random_forest,0.9692,0.977,0.0627,1.0,0.0308,0.54,10000,True,True,True,True,True
diabetes130,all_leaky,1024,random_forest,0.9723,0.9798,0.0626,1.0,0.0277,0.515,10000,True,True,True,True,True
diabetes130,all_leaky,2048,random_forest,0.9691,0.9768,0.0623,1.0,0.0309,0.475,10000,True,True,True,True,True
diabetes130,all_leaky,4096,random_forest,0.9707,0.9778,0.0619,1.0,0.0293,0.495,10000,True,True,True,True,True
diabetes130,all_leaky,8192,random_forest,0.9711,0.9784,0.0614,1.0,0.0289,0.455,10000,True,True,True,True,True
diabetes130,all_leaky,16384,random_forest,0.9692,0.9776,0.0644,1.0,0.0308,0.465,10000,True,True,True,True,True
diabetes130,all_leaky,32768,random_forest,0.971,0.978,0.0618,1.0,0.029,0.465,10000,True,True,True,True,True
diabetes130,clean,42,random_forest,0.624,0.1634,0.1051,1.0,0.376,0.18,10000,False,False,False,False,False
diabetes130,clean,123,random_forest,0.6199,0.1778,0.1067,1.0,0.3801,0.33,10000,False,False,False,False,False
diabetes130,clean,256,random_forest,0.6335,0.1623,0.0985,1.0,0.3665,0.125,10000,False,False,False,False,False
diabetes130,clean,512,random_forest,0.6238,0.1324,0.0965,1.0,0.3762,0.225,10000,False,False,False,False,False
diabetes130,clean,1024,random_forest,0.5852,0.14,0.1071,1.0,0.4148,0.13,10000,False,False,False,False,False
diabetes130,clean,2048,random_forest,0.5972,0.1619,0.1092,1.0,0.4028,0.145,10000,False,False,False,False,False
diabetes130,clean,4096,random_forest,0.6125,0.192,0.1056,1.0,0.3875,0.205,10000,False,False,False,False,False
diabetes130,clean,8192,random_forest,0.6256,0.1784,0.1028,1.0,0.3744,0.11,10000,False,False,False,False,False
diabetes130,clean,16384,random_forest,0.6156,0.1584,0.0982,1.0,0.3844,0.16,10000,False,False,False,False,False
diabetes130,clean,32768,random_forest,0.6231,0.1788,0.109,1.0,0.3769,0.135,10000,False,False,False,False,False
