dataset,condition,seed,model,test_auc_roc,test_auc_pr,test_brier,train_auc_roc,train_test_gap,threshold,n_total,L1,L2,L3,L4,L5
heart,ablation_L5,4096,random_forest,0.9267,0.933,0.1109,1.0,0.0733,0.635,297,True,True,True,True,False
heart,ablation_L5,8192,random_forest,0.9027,0.9116,0.1334,1.0,0.0973,0.45,297,True,True,True,True,False
heart,ablation_L5,16384,logistic_l2,0.916,0.9132,0.1084,0.9143,-0.0017,0.7166,297,True,True,True,True,False
heart,ablation_L5,32768,random_forest,0.9202,0.9187,0.1236,1.0,0.0798,0.705,297,True,True,True,True,False
heart,all_leaky,42,random_forest,0.8596,0.9095,0.1568,1.0,0.1404,0.765,297,True,True,True,True,True
heart,all_leaky,123,random_forest,0.9108,0.9362,0.121,1.0,0.0892,0.58,297,True,True,True,True,True
heart,all_leaky,256,random_forest,0.9272,0.9385,0.112,1.0,0.0728,0.445,297,True,True,True,True,True
heart,all_leaky,512,logistic_l2,0.9248,0.9477,0.1026,0.9154,-0.0094,0.6842,297,True,True,True,True,True
heart,all_leaky,1024,logistic_l2,0.9069,0.9263,0.1144,0.9088,0.0019,0.6183,297,True,True,True,True,True
heart,all_leaky,2048,random_forest,0.9179,0.9511,0.1194,1.0,0.0821,0.615,297,True,True,True,True,True
heart,all_leaky,4096,random_forest,0.9267,0.933,0.1109,1.0,0.0733,0.48,297,True,True,True,True,True
heart,all_leaky,8192,random_forest,0.8925,0.9023,0.141,1.0,0.1075,0.32,297,True,True,True,True,True
heart,all_leaky,16384,logistic_l2,0.9141,0.917,0.1091,0.9179,0.0038,0.611,297,True,True,True,True,True
heart,all_leaky,32768,random_forest,0.9025,0.9046,0.1311,1.0,0.0975,0.67,297,True,True,True,True,True
heart,clean,42,random_forest,0.8806,0.8148,0.1486,1.0,0.1194,0.62,297,False,False,False,False,False
heart,clean,123,random_forest,0.8677,0.869,0.1467,1.0,0.1323,0.33,297,False,False,False,False,False
heart,clean,256,logistic_l2,0.8349,0.8226,0.1517,0.9067,0.0718,0.6597,297,False,False,False,False,False
heart,clean,512,logistic_l2,0.8911,0.9132,0.1437,0.9166,0.0255,0.4979,297,False,False,False,False,False
heart,clean,1024,random_forest,0.8659,0.8969,0.1664,1.0,0.1341,0.435,297,False,False,False,False,False
heart,clean,2048,hist_gb,0.8258,0.8428,0.2029,1.0,0.1742,0.2659,297,False,False,False,False,False
heart,clean,4096,random_forest,0.9355,0.9537,0.1016,1.0,0.0645,0.54,297,False,False,False,False,False
heart,clean,8192,logistic_l2,0.953,0.93,0.0881,0.9118,-0.0412,0.6781,297,False,False,False,False,False
heart,clean,16384,logistic_l2,0.8457,0.838,0.1601,0.9259,0.0802,0.7558,297,False,False,False,False,False
heart,clean,32768,logistic_l2,0.8754,0.8961,0.1431,0.9244,0.049,0.61,297,False,False,False,False,False
breast,ablation_L1,42,random_forest,0.9935,0.9917,0.0287,1.0,0.0065,0.655,569,False,True,True,True,True
breast,ablation_L1,123,random_forest,0.9916,0.9903,0.0285,1.0,0.0084,0.335,569,False,True,True,True,True
breast,ablation_L1,256,logistic_l2,0.9925,0.9927,0.032,0.9939,0.0014,0.3956,569,False,True,True,True,True
breast,ablation_L1,512,random_forest,0.9792,0.983,0.0539,1.0,0.0208,0.495,569,False,True,True,True,True
breast,ablation_L1,1024,logistic_l2,0.9925,0.993,0.034,0.9929,0.0004,0.7941,569,False,True,True,True,True
breast,ablation_L1,2048,random_forest,0.9889,0.9924,0.0309,1.0,0.0111,0.75,569,False,True,True,True,True
breast,ablation_L1,4096,logistic_l2,0.9938,0.995,0.0364,0.9947,0.0009,0.5985,569,False,True,True,True,True
breast,ablation_L1,8192,logistic_l2,0.99,0.9907,0.0427,0.9938,0.0038,0.6659,569,False,True,True,True,True
breast,ablation_L1,16384,hist_gb,0.9921,0.9915,0.0507,1.0,0.0079,0.0096,569,False,True,True,True,True
breast,ablation_L1,32768,logistic_l2,0.9982,0.9978,0.0212,0.9892,-0.009,0.4296,569,False,True,True,True,True
breast,ablation_L2,42,logistic_l2,0.9954,0.9924,0.0267,0.9949,-0.0005,0.365,569,True,False,True,True,True
breast,ablation_L2,123,hist_gb,0.9808,0.9777,0.0399,1.0,0.0192,0.1071,569,True,False,True,True,True
breast,ablation_L2,256,random_forest,0.9957,0.9932,0.0295,1.0,0.0043,0.57,569,True,False,True,True,True
breast,ablation_L2,512,logistic_l2,0.9785,0.9742,0.0435,0.9951,0.0166,0.3431,569,True,False,True,True,True
breast,ablation_L2,1024,random_forest,0.9778,0.9768,0.0388,1.0,0.0222,0.44,569,True,False,True,True,True
breast,ablation_L2,2048,logistic_l2,0.9944,0.9908,0.0314,0.9907,-0.0037,0.3043,569,True,False,True,True,True
breast,ablation_L2,4096,logistic_l2,0.995,0.9925,0.0281,0.9933,-0.0017,0.5101,569,True,False,True,True,True
breast,ablation_L2,8192,logistic_l2,0.9974,0.9957,0.0275,0.9909,-0.0065,0.5505,569,True,False,True,True,True
breast,ablation_L2,16384,random_forest,0.9816,0.985,0.0223,1.0,0.0184,0.655,569,True,False,True,True,True
breast,ablation_L2,32768,logistic_l2,0.997,0.9949,0.032,0.9918,-0.0052,0.5411,569,True,False,True,True,True
breast,ablation_L3,42,random_forest,0.9939,0.9922,0.0297,1.0,0.0061,0.54,569,True,True,False,True,True
breast,ablation_L3,123,logistic_l2,0.996,0.9949,0.0269,0.9922,-0.0038,0.5686,569,True,True,False,True,True
breast,ablation_L3,256,logistic_l2,0.9925,0.9927,0.0318,0.9937,0.0012,0.4014,569,True,True,False,True,True
breast,ablation_L3,512,random_forest,0.9779,0.9815,0.0599,1.0,0.0221,0.24,569,True,True,False,True,True
breast,ablation_L3,1024,logistic_l2,0.9929,0.9932,0.0355,0.9926,-0.0003,0.8298,569,True,True,False,True,True
breast,ablation_L3,2048,random_forest,0.9887,0.9929,0.0293,1.0,0.0113,0.65,569,True,True,False,True,True
breast,ablation_L3,4096,logistic_l2,0.9944,0.9954,0.0347,0.9952,0.0008,0.6079,569,True,True,False,True,True
breast,ablation_L3,8192,logistic_l2,0.989,0.9898,0.0432,0.9939,0.0049,0.6809,569,True,True,False,True,True
breast,ablation_L3,16384,hist_gb,0.9919,0.9915,0.0427,1.0,0.0081,0.8786,569,True,True,False,True,True
breast,ablation_L3,32768,logistic_l2,0.9982,0.9978,0.0204,0.9898,-0.0084,0.4037,569,True,True,False,True,True
breast,ablation_L4,42,logistic_l2,0.984,0.982,0.0518,0.9941,0.0101,0.6059,569,True,True,True,False,True
breast,ablation_L4,123,hist_gb,0.994,0.994,0.0414,1.0,0.006,0.3289,569,True,True,True,False,True
breast,ablation_L4,256,logistic_l2,0.9963,0.9961,0.0266,0.9906,-0.0057,0.6724,569,True,True,True,False,True
breast,ablation_L4,512,logistic_l2,0.9952,0.9947,0.0296,0.9929,-0.0023,0.4996,569,True,True,True,False,True
breast,ablation_L4,1024,logistic_l2,0.9916,0.9913,0.0326,0.9958,0.0042,0.653,569,True,True,True,False,True
breast,ablation_L4,2048,logistic_l2,0.9975,0.9974,0.0245,0.9876,-0.0099,0.4461,569,True,True,True,False,True
breast,ablation_L4,4096,logistic_l2,0.9851,0.9877,0.0523,0.9945,0.0094,0.4916,569,True,True,True,False,True
breast,ablation_L4,8192,logistic_l2,0.9981,0.998,0.0215,0.9942,-0.0039,0.5699,569,True,True,True,False,True
breast,ablation_L4,16384,random_forest,0.999,0.9992,0.0205,1.0,0.001,0.225,569,True,True,True,False,True
breast,ablation_L4,32768,logistic_l2,0.995,0.9959,0.0269,0.9943,-0.0007,0.3319,569,True,True,True,False,True
breast,ablation_L5,42,random_forest,0.9937,0.992,0.0304,1.0,0.0063,0.59,569,True,True,True,True,False
breast,ablation_L5,123,random_forest,0.9952,0.9933,0.0241,1.0,0.0048,0.645,569,True,True,True,True,False
breast,ablation_L5,256,logistic_l2,0.9925,0.9927,0.0318,0.9937,0.0012,0.7655,569,True,True,True,True,False
breast,ablation_L5,512,random_forest,0.9779,0.9815,0.0599,1.0,0.0221,0.37,569,True,True,True,True,False
breast,ablation_L5,1024,logistic_l2,0.9927,0.9931,0.0339,0.9929,0.0002,0.5885,569,True,True,True,True,False
breast,ablation_L5,2048,random_forest,0.9882,0.9921,0.0316,1.0,0.0118,0.9,569,True,True,True,True,False
breast,ablation_L5,4096,logistic_l2,0.9944,0.9954,0.0347,0.9952,0.0008,0.4453,569,True,True,True,True,False
breast,ablation_L5,8192,logistic_l2,0.9904,0.9913,0.0408,0.9907,0.0003,0.404,569,True,True,True,True,False
breast,ablation_L5,16384,hist_gb,0.9919,0.9915,0.0427,1.0,0.0081,0.4613,569,True,True,True,True,False
breast,ablation_L5,32768,logistic_l2,0.9982,0.9978,0.0204,0.9898,-0.0084,0.576,569,True,True,True,True,False
breast,all_leaky,42,random_forest,0.9937,0.992,0.0304,1.0,0.0063,0.565,569,True,True,True,True,True
breast,all_leaky,123,random_forest,0.9952,0.9933,0.0241,1.0,0.0048,0.49,569,True,True,True,True,True
breast,all_leaky,256,logistic_l2,0.9925,0.9927,0.0318,0.9937,0.0012,0.4014,569,True,True,True,True,True
breast,all_leaky,512,random_forest,0.9779,0.9815,0.0599,1.0,0.0221,0.24,569,True,True,True,True,True
breast,all_leaky,1024,logistic_l2,0.9927,0.9931,0.0339,0.9929,0.0002,0.7872,569,True,True,True,True,True
breast,all_leaky,2048,random_forest,0.9882,0.9921,0.0316,1.0,0.0118,0.735,569,True,True,True,True,True
breast,all_leaky,4096,logistic_l2,0.9944,0.9954,0.0347,0.9952,0.0008,0.6079,569,True,True,True,True,True
breast,all_leaky,8192,logistic_l2,0.9904,0.9913,0.0408,0.9907,0.0003,0.7373,569,True,True,True,True,True
breast,all_leaky,16384,hist_gb,0.9919,0.9915,0.0427,1.0,0.0081,0.8786,569,True,True,True,True,True
breast,all_leaky,32768,logistic_l2,0.9982,0.9978,0.0204,0.9898,-0.0084,0.4037,569,True,True,True,True,True
breast,clean,42,hist_gb,0.9823,0.9762,0.0374,1.0,0.0177,0.8629,569,False,False,False,False,False
breast,clean,123,hist_gb,0.9766,0.9747,0.0841,1.0,0.0234,0.9954,569,False,False,False,False,False
breast,clean,256,random_forest,0.996,0.994,0.0294,1.0,0.004,0.81,569,False,False,False,False,False
breast,clean,512,logistic_l2,0.9757,0.9738,0.0414,0.9919,0.0162,0.6585,569,False,False,False,False,False
breast,clean,1024,logistic_l2,0.9964,0.9944,0.022,0.9913,-0.0051,0.647,569,False,False,False,False,False
breast,clean,2048,random_forest,0.9803,0.9705,0.0533,1.0,0.0197,0.385,569,False,False,False,False,False
breast,clean,4096,random_forest,0.9759,0.972,0.0416,1.0,0.0241,0.73,569,False,False,False,False,False
breast,clean,8192,random_forest,0.9893,0.9822,0.036,1.0,0.0107,0.335,569,False,False,False,False,False
breast,clean,16384,random_forest,0.9742,0.9723,0.0488,1.0,0.0258,0.32,569,False,False,False,False,False
breast,clean,32768,logistic_l2,0.9663,0.9699,0.0487,0.9967,0.0304,0.162,569,False,False,False,False,False
ckd,ablation_L1,42,random_forest,1.0,1.0,0.0049,1.0,0.0,0.8,399,False,True,True,True,True
ckd,ablation_L1,123,logistic_l2,1.0,1.0,0.017,1.0,0.0,0.3051,399,False,True,True,True,True
ckd,ablation_L1,256,logistic_l2,1.0,1.0,0.0183,1.0,0.0,0.1196,399,False,True,True,True,True
