n,n_positive,prevalence,AUROC,AUPRC,Sensitivity,Specificity,PPV,FPR,group
4161,406,0.0976,0.6181,0.1633,0.4606,0.7081,0.1458,0.2919,[70-80)
4019,368,0.0916,0.6285,0.1746,0.4185,0.7765,0.1588,0.2235,[60-70)
2911,285,0.0979,0.6215,0.1697,0.5579,0.6021,0.1321,0.3979,[80-90)
2908,231,0.0794,0.6745,0.2298,0.4026,0.8323,0.1716,0.1677,[50-60)
1507,101,0.067,0.6493,0.135,0.3762,0.8457,0.149,0.1543,[40-50)
574,46,0.0801,0.7483,0.239,0.4565,0.8542,0.2143,0.1458,[30-40)
480,59,0.1229,0.5745,0.1763,0.4576,0.6105,0.1414,0.3895,[90-100)
263,21,0.0798,0.7712,0.294,0.5714,0.8512,0.25,0.1488,[20-30)
85,4,0.0471,0.679,0.1479,0.25,0.9136,0.125,0.0864,[10-20)
